seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-17913.0,-1408.0,13004.0,691.0,-10124.0,8630.0,-296.0,73.0,171.0,26,M,1,2019-06-17T17:45:15.613203
-17890.0,-1353.0,13051.0,748.0,-10260.0,8707.0,-282.0,73.0,171.0,26,M,1,2019-06-17T17:45:16.180766
-17886.0,-1503.0,13065.0,733.0,-10179.0,8649.0,-278.0,73.0,171.0,26,M,1,2019-06-17T17:45:16.748078
-17757.0,-1465.0,12943.0,706.0,-10315.0,8710.0,-264.0,73.0,171.0,26,M,1,2019-06-17T17:45:17.316093
-17814.0,-1376.0,13005.0,691.0,-10317.0,8559.0,-269.0,73.0,171.0,26,M,1,2019-06-17T17:45:17.883755
-17723.0,-1494.0,12905.0,775.0,-10394.0,8623.0,-298.0,73.0,171.0,26,M,1,2019-06-17T17:45:18.451420
-17980.0,-1722.0,12902.0,715.0,-10494.0,9186.0,-357.0,73.0,171.0,26,M,1,2019-06-17T17:45:19.019044
-17986.0,-1810.0,12991.0,681.0,-10413.0,8883.0,-363.0,73.0,171.0,26,M,1,2019-06-17T17:45:19.586610
-17981.0,-2127.0,13053.0,759.0,-10167.0,9802.0,-455.0,73.0,171.0,26,M,1,2019-06-17T17:45:20.154369
-18065.0,-2052.0,13165.0,728.0,-10073.0,9897.0,-481.0,73.0,171.0,26,M,1,2019-06-17T17:45:20.722177
-17995.0,-2073.0,13071.0,812.0,-10329.0,9637.0,-500.0,73.0,171.0,26,M,1,2019-06-17T17:45:21.290181
-18045.0,-2226.0,13117.0,910.0,-10253.0,10137.0,-481.0,73.0,171.0,26,M,1,2019-06-17T17:45:21.858103
-18159.0,-2177.0,13329.0,1079.0,-10015.0,10359.0,-543.0,73.0,171.0,26,M,1,2019-06-17T17:45:22.426071
-18114.0,-2328.0,13305.0,1135.0,-10174.0,10002.0,-476.0,73.0,171.0,26,M,1,2019-06-17T17:45:22.993935
-18251.0,-2221.0,13343.0,1083.0,-9812.0,9739.0,-441.0,73.0,171.0,26,M,1,2019-06-17T17:45:23.561877
-18148.0,-2072.0,13214.0,962.0,-10267.0,9511.0,-423.0,73.0,171.0,26,M,1,2019-06-17T17:45:24.129628
-18258.0,-2746.0,13172.0,1004.0,-10411.0,10744.0,-671.0,73.0,171.0,26,M,1,2019-06-17T17:45:24.697485
-18145.0,-2261.0,13187.0,1012.0,-10001.0,9951.0,-425.0,73.0,171.0,26,M,1,2019-06-17T17:45:25.265278
-17845.0,-2533.0,13010.0,865.0,-9618.0,9911.0,-395.0,73.0,171.0,26,M,1,2019-06-17T17:45:25.833173
-17746.0,-2214.0,12853.0,568.0,-11022.0,8811.0,-294.0,73.0,171.0,26,M,1,2019-06-17T17:45:26.400936
