seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
22118.0,40725.0,30219.0,10080.0,22751.0,8049.0,-7074.0,63.0,170.0,20,F,1,2019-06-18T17:29:29.294164
22119.0,40448.0,30211.0,10058.0,22706.0,8481.0,-7081.0,63.0,170.0,20,F,1,2019-06-18T17:29:29.883988
22152.0,40079.0,30210.0,10154.0,22235.0,8573.0,-7070.0,63.0,170.0,20,F,1,2019-06-18T17:29:30.430058
22087.0,40339.0,30241.0,10186.0,21687.0,8098.0,-7086.0,63.0,170.0,20,F,1,2019-06-18T17:29:31.020045
22082.0,40649.0,30180.0,10097.0,20351.0,8173.0,-7116.0,63.0,170.0,20,F,1,2019-06-18T17:29:31.565988
21900.0,40676.0,30102.0,9891.0,20578.0,8289.0,-7103.0,63.0,170.0,20,F,1,2019-06-18T17:29:32.156213
21839.0,40741.0,30139.0,9976.0,21021.0,8612.0,-7078.0,63.0,170.0,20,F,1,2019-06-18T17:29:32.701287
21946.0,40554.0,30064.0,10093.0,20704.0,8817.0,-7156.0,63.0,170.0,20,F,1,2019-06-18T17:29:33.292282
21905.0,40842.0,30078.0,9977.0,19889.0,8896.0,-7206.0,63.0,170.0,20,F,1,2019-06-18T17:29:33.837173
21918.0,40492.0,30073.0,10008.0,20215.0,8921.0,-7225.0,63.0,170.0,20,F,1,2019-06-18T17:29:34.428331
21884.0,40534.0,30082.0,9912.0,20218.0,9152.0,-7201.0,63.0,170.0,20,F,1,2019-06-18T17:29:34.972924
21564.0,39897.0,30054.0,9757.0,20728.0,9817.0,-7224.0,63.0,170.0,20,F,1,2019-06-18T17:29:35.564459
21734.0,39109.0,30124.0,9863.0,21920.0,9975.0,-7247.0,63.0,170.0,20,F,1,2019-06-18T17:29:36.108568
21700.0,39852.0,30078.0,9831.0,19985.0,9434.0,-7244.0,63.0,170.0,20,F,1,2019-06-18T17:29:36.700541
21561.0,39960.0,30072.0,9756.0,20191.0,9340.0,-7241.0,63.0,170.0,20,F,1,2019-06-18T17:29:37.244303
20970.0,39414.0,30029.0,9737.0,19569.0,9202.0,-7329.0,63.0,170.0,20,F,1,2019-06-18T17:29:37.836497
21329.0,39387.0,30059.0,9858.0,21260.0,9815.0,-7333.0,63.0,170.0,20,F,1,2019-06-18T17:29:38.379931
21424.0,39241.0,30036.0,10048.0,19954.0,9541.0,-7253.0,63.0,170.0,20,F,1,2019-06-18T17:29:38.972417
21275.0,39715.0,30089.0,9920.0,19965.0,9308.0,-7339.0,63.0,170.0,20,F,1,2019-06-18T17:29:39.515600
21222.0,40083.0,30005.0,9920.0,19699.0,8885.0,-7290.0,63.0,170.0,20,F,1,2019-06-18T17:29:40.108667
