seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
48842.0,87383.0,16840.0,16536.0,18495.0,-872.0,480.0,78.0,173.0,24,M,1,2019-06-18T12:33:46.302275
48903.0,87017.0,16701.0,16567.0,17774.0,-1040.0,415.0,78.0,173.0,24,M,1,2019-06-18T12:33:46.895215
49066.0,87004.0,16843.0,16563.0,17912.0,-928.0,437.0,78.0,173.0,24,M,1,2019-06-18T12:33:47.463153
48776.0,87119.0,16822.0,16553.0,17922.0,-938.0,536.0,78.0,173.0,24,M,1,2019-06-18T12:33:48.058452
49066.0,87620.0,16692.0,16330.0,17833.0,-1014.0,506.0,78.0,173.0,24,M,1,2019-06-18T12:33:48.599724
49133.0,87274.0,16791.0,16446.0,17277.0,-844.0,488.0,78.0,173.0,24,M,1,2019-06-18T12:33:49.194821
49126.0,86414.0,16802.0,16552.0,17411.0,-993.0,532.0,78.0,173.0,24,M,1,2019-06-18T12:33:49.735779
49007.0,86444.0,16834.0,16625.0,17400.0,-1035.0,593.0,78.0,173.0,24,M,1,2019-06-18T12:33:50.331139
49220.0,87376.0,16634.0,16320.0,17488.0,-883.0,497.0,78.0,173.0,24,M,1,2019-06-18T12:33:50.872179
49035.0,86642.0,16710.0,16510.0,16626.0,-1210.0,595.0,78.0,173.0,24,M,1,2019-06-18T12:33:51.467644
49027.0,86679.0,16721.0,16578.0,16432.0,-1625.0,586.0,78.0,173.0,24,M,1,2019-06-18T12:33:52.008305
48964.0,85986.0,16791.0,16589.0,16590.0,-1586.0,669.0,78.0,173.0,24,M,1,2019-06-18T12:33:52.604172
49157.0,86904.0,16633.0,16244.0,16712.0,-1251.0,654.0,78.0,173.0,24,M,1,2019-06-18T12:33:53.144787
48888.0,86475.0,16653.0,16431.0,16015.0,-1251.0,633.0,78.0,173.0,24,M,1,2019-06-18T12:33:53.740776
48829.0,86300.0,16771.0,16567.0,16010.0,-1605.0,673.0,78.0,173.0,24,M,1,2019-06-18T12:33:54.280762
48512.0,86497.0,16861.0,16628.0,16447.0,-1351.0,730.0,78.0,173.0,24,M,1,2019-06-18T12:33:54.877213
48854.0,87116.0,16607.0,16423.0,16305.0,-1317.0,620.0,78.0,173.0,24,M,1,2019-06-18T12:33:55.416618
48642.0,86884.0,16728.0,16484.0,16275.0,-1556.0,655.0,78.0,173.0,24,M,1,2019-06-18T12:33:56.013751
48651.0,86777.0,16843.0,16508.0,16623.0,-885.0,644.0,78.0,173.0,24,M,1,2019-06-18T12:33:56.553010
48370.0,86334.0,16865.0,16693.0,16481.0,-751.0,634.0,78.0,173.0,24,M,1,2019-06-18T12:33:57.150054
