seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
54789.0,32160.0,21297.0,-1399.0,37441.0,12183.0,8188.0,68.0,169.0,20,F,1,2019-06-20T11:44:15.713374
55087.0,31887.0,21243.0,-1757.0,37847.0,11901.0,8021.0,68.0,169.0,20,F,1,2019-06-20T11:44:16.293427
55926.0,32046.0,21099.0,-1359.0,37973.0,12301.0,8193.0,68.0,169.0,20,F,1,2019-06-20T11:44:16.848985
55870.0,32108.0,21090.0,-1378.0,38171.0,12294.0,8134.0,68.0,169.0,20,F,1,2019-06-20T11:44:17.429324
56267.0,32233.0,21063.0,-1469.0,37837.0,12358.0,8134.0,68.0,169.0,20,F,1,2019-06-20T11:44:17.985185
56436.0,32259.0,21205.0,-1424.0,38056.0,11970.0,8220.0,68.0,169.0,20,F,1,2019-06-20T11:44:18.565117
56591.0,32343.0,21285.0,-1478.0,37932.0,11391.0,8933.0,68.0,169.0,20,F,1,2019-06-20T11:44:19.120788
56404.0,32358.0,21215.0,-1474.0,38126.0,11948.0,8780.0,68.0,169.0,20,F,1,2019-06-20T11:44:19.700932
56954.0,32339.0,21043.0,-1410.0,38183.0,12223.0,8641.0,68.0,169.0,20,F,1,2019-06-20T11:44:20.256503
57077.0,32293.0,20956.0,-1499.0,38118.0,12299.0,8565.0,68.0,169.0,20,F,1,2019-06-20T11:44:20.836900
57009.0,32055.0,20885.0,-1466.0,38198.0,12351.0,8465.0,68.0,169.0,20,F,1,2019-06-20T11:44:21.392059
56726.0,32112.0,20894.0,-1484.0,38004.0,12389.0,8412.0,68.0,169.0,20,F,1,2019-06-20T11:44:21.972905
56768.0,32064.0,20925.0,-1514.0,37757.0,12181.0,8427.0,68.0,169.0,20,F,1,2019-06-20T11:44:22.527809
56562.0,32032.0,20938.0,-1488.0,38238.0,12384.0,8362.0,68.0,169.0,20,F,1,2019-06-20T11:44:23.108724
56104.0,31977.0,20888.0,-1500.0,38168.0,12404.0,8213.0,68.0,169.0,20,F,1,2019-06-20T11:44:23.663513
56253.0,32116.0,20880.0,-1515.0,38702.0,12480.0,8198.0,68.0,169.0,20,F,1,2019-06-20T11:44:24.244708
56060.0,31990.0,20913.0,-1445.0,38875.0,12347.0,8223.0,68.0,169.0,20,F,1,2019-06-20T11:44:24.799212
55367.0,32028.0,21037.0,-1569.0,39011.0,11863.0,8455.0,68.0,169.0,20,F,1,2019-06-20T11:44:25.380593
55901.0,31966.0,20928.0,-1430.0,39077.0,12259.0,8460.0,68.0,169.0,20,F,1,2019-06-20T11:44:25.934866
55752.0,32032.0,20790.0,-1438.0,38897.0,12552.0,8316.0,68.0,169.0,20,F,1,2019-06-20T11:44:26.516517
