seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
30457.0,35763.0,16659.0,14768.0,21202.0,18779.0,-7416.0,83.0,180.0,21,M,1,2019-06-19T12:22:44.827137
30363.0,35835.0,16798.0,14723.0,21117.0,18818.0,-7407.0,83.0,180.0,21,M,1,2019-06-19T12:22:45.348967
30255.0,36036.0,16869.0,14658.0,20925.0,18958.0,-7391.0,83.0,180.0,21,M,1,2019-06-19T12:22:45.916273
29775.0,36121.0,16787.0,14690.0,20883.0,19083.0,-7400.0,83.0,180.0,21,M,1,2019-06-19T12:22:46.484788
29461.0,36173.0,16756.0,14582.0,20703.0,18904.0,-7427.0,83.0,180.0,21,M,1,2019-06-19T12:22:47.052672
29344.0,36079.0,16652.0,14561.0,20191.0,19004.0,-7455.0,83.0,180.0,21,M,1,2019-06-19T12:22:47.620531
29573.0,36136.0,16740.0,14625.0,20388.0,19152.0,-7468.0,83.0,180.0,21,M,1,2019-06-19T12:22:48.188410
29298.0,36215.0,16836.0,14709.0,20000.0,18902.0,-7433.0,83.0,180.0,21,M,1,2019-06-19T12:22:48.756401
28889.0,35917.0,16934.0,14704.0,19927.0,18842.0,-7515.0,83.0,180.0,21,M,1,2019-06-19T12:22:49.324249
29431.0,35761.0,16963.0,14626.0,19617.0,18919.0,-7512.0,83.0,180.0,21,M,1,2019-06-19T12:22:49.891913
29254.0,35778.0,16996.0,14641.0,19628.0,18739.0,-7523.0,83.0,180.0,21,M,1,2019-06-19T12:22:50.460077
28685.0,35900.0,16966.0,14374.0,19920.0,18788.0,-7505.0,83.0,180.0,21,M,1,2019-06-19T12:22:51.027948
28784.0,35896.0,17003.0,14400.0,20038.0,19002.0,-7527.0,83.0,180.0,21,M,1,2019-06-19T12:22:51.595977
28716.0,36408.0,16919.0,14417.0,19795.0,19165.0,-7537.0,83.0,180.0,21,M,1,2019-06-19T12:22:52.163823
29211.0,36429.0,16991.0,14563.0,19674.0,19065.0,-7522.0,83.0,180.0,21,M,1,2019-06-19T12:22:52.731666
29120.0,36133.0,17018.0,14644.0,19568.0,19512.0,-7536.0,83.0,180.0,21,M,1,2019-06-19T12:22:53.299976
28801.0,36434.0,16983.0,14582.0,19716.0,19785.0,-7570.0,83.0,180.0,21,M,1,2019-06-19T12:22:53.867557
28710.0,36469.0,16986.0,14508.0,19612.0,19668.0,-7590.0,83.0,180.0,21,M,1,2019-06-19T12:22:54.436678
28524.0,36586.0,17085.0,14485.0,19596.0,19731.0,-7542.0,83.0,180.0,21,M,1,2019-06-19T12:22:55.003166
28728.0,36107.0,17097.0,14415.0,20326.0,19651.0,-7611.0,83.0,180.0,21,M,1,2019-06-19T12:22:55.573154
