seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
42894.0,51244.0,27221.0,13311.0,13233.0,-3810.0,7229.0,70.0,165.0,23,F,1,2019-06-18T12:51:54.794993
42874.0,51406.0,27223.0,13469.0,12963.0,-3855.0,7208.0,70.0,165.0,23,F,1,2019-06-18T12:51:55.355888
43189.0,51608.0,27311.0,13469.0,12948.0,-3751.0,7205.0,70.0,165.0,23,F,1,2019-06-18T12:51:55.931051
42875.0,51649.0,27345.0,13671.0,12279.0,-3927.0,7117.0,70.0,165.0,23,F,1,2019-06-18T12:51:56.491843
43602.0,54411.0,27735.0,13187.0,12612.0,-3812.0,7307.0,70.0,165.0,23,F,1,2019-06-18T12:51:57.066585
43876.0,52739.0,27490.0,12503.0,11968.0,-3716.0,7300.0,70.0,165.0,23,F,1,2019-06-18T12:51:57.627184
43714.0,50524.0,27378.0,12518.0,11481.0,-2941.0,7212.0,70.0,165.0,23,F,1,2019-06-18T12:51:58.202960
43390.0,50898.0,27338.0,12828.0,10935.0,-2850.0,7105.0,70.0,165.0,23,F,1,2019-06-18T12:51:58.762773
42935.0,50968.0,27223.0,12787.0,10740.0,-3414.0,7227.0,70.0,165.0,23,F,1,2019-06-18T12:51:59.338788
42426.0,50708.0,27243.0,12810.0,10522.0,-3510.0,7172.0,70.0,165.0,23,F,1,2019-06-18T12:51:59.898310
42790.0,50715.0,27277.0,12476.0,10399.0,-3566.0,7113.0,70.0,165.0,23,F,1,2019-06-18T12:52:00.474847
42614.0,51289.0,27446.0,12556.0,10348.0,-3418.0,7132.0,70.0,165.0,23,F,1,2019-06-18T12:52:01.033358
43156.0,51345.0,27346.0,12615.0,9823.0,-3641.0,7238.0,70.0,165.0,23,F,1,2019-06-18T12:52:01.610735
42494.0,50736.0,27302.0,12624.0,9871.0,-4620.0,7234.0,70.0,165.0,23,F,1,2019-06-18T12:52:02.169512
42641.0,50403.0,27355.0,12636.0,9683.0,-4043.0,7186.0,70.0,165.0,23,F,1,2019-06-18T12:52:02.746533
43914.0,49587.0,27270.0,12553.0,9732.0,-3718.0,7177.0,70.0,165.0,23,F,1,2019-06-18T12:52:03.305430
44163.0,50232.0,27350.0,12577.0,9672.0,-3714.0,7189.0,70.0,165.0,23,F,1,2019-06-18T12:52:03.882401
43694.0,50347.0,27428.0,12606.0,9292.0,-3298.0,7161.0,70.0,165.0,23,F,1,2019-06-18T12:52:04.440878
43491.0,50061.0,27458.0,12577.0,9338.0,-3672.0,7138.0,70.0,165.0,23,F,1,2019-06-18T12:52:05.018316
42898.0,50151.0,27493.0,12705.0,9112.0,-3960.0,7183.0,70.0,165.0,23,F,1,2019-06-18T12:52:05.576597
