seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
26510.0,32391.0,23313.0,13577.0,7730.0,11145.0,5962.0,63.0,156.0,25,F,1,2019-06-17T15:08:51.958207
26550.0,32365.0,23283.0,13502.0,7720.0,11249.0,6003.0,63.0,156.0,25,F,1,2019-06-17T15:08:52.526384
26804.0,32666.0,23226.0,13507.0,7727.0,10826.0,6148.0,63.0,156.0,25,F,1,2019-06-17T15:08:53.093968
26685.0,32616.0,23261.0,13527.0,7626.0,10926.0,6158.0,63.0,156.0,25,F,1,2019-06-17T15:08:53.661607
26580.0,32370.0,23192.0,13477.0,7473.0,10975.0,5967.0,63.0,156.0,25,F,1,2019-06-17T15:08:54.229465
26521.0,32391.0,23233.0,13476.0,7334.0,10883.0,6009.0,63.0,156.0,25,F,1,2019-06-17T15:08:54.797264
26482.0,32448.0,23209.0,13502.0,7375.0,10960.0,5974.0,63.0,156.0,25,F,1,2019-06-17T15:08:55.364839
26495.0,32468.0,23214.0,13517.0,7379.0,11040.0,5992.0,63.0,156.0,25,F,1,2019-06-17T15:08:55.932600
26578.0,32651.0,23281.0,13492.0,7327.0,10794.0,6094.0,63.0,156.0,25,F,1,2019-06-17T15:08:56.500283
26529.0,32573.0,23314.0,13539.0,7232.0,10803.0,6121.0,63.0,156.0,25,F,1,2019-06-17T15:08:57.068370
26515.0,32571.0,23275.0,13507.0,6962.0,10869.0,6037.0,63.0,156.0,25,F,1,2019-06-17T15:08:57.635768
26533.0,32564.0,23292.0,13578.0,6952.0,10797.0,5972.0,63.0,156.0,25,F,1,2019-06-17T15:08:58.204105
26542.0,32578.0,23357.0,13527.0,7174.0,10910.0,6041.0,63.0,156.0,25,F,1,2019-06-17T15:08:58.771245
26761.0,32697.0,23346.0,13522.0,7094.0,10914.0,6141.0,63.0,156.0,25,F,1,2019-06-17T15:08:59.339940
26644.0,32730.0,23442.0,13517.0,7072.0,10818.0,6147.0,63.0,156.0,25,F,1,2019-06-17T15:08:59.906645
26543.0,32527.0,23355.0,13558.0,6897.0,10849.0,6037.0,63.0,156.0,25,F,1,2019-06-17T15:09:00.475420
26513.0,32535.0,23463.0,13567.0,6742.0,10814.0,6058.0,63.0,156.0,25,F,1,2019-06-17T15:09:01.042061
26535.0,32547.0,23429.0,13550.0,6721.0,10828.0,6065.0,63.0,156.0,25,F,1,2019-06-17T15:09:01.611208
26530.0,32567.0,23468.0,13615.0,6905.0,10841.0,6055.0,63.0,156.0,25,F,1,2019-06-17T15:09:02.177439
26713.0,32711.0,23509.0,13619.0,6924.0,10799.0,6144.0,63.0,156.0,25,F,1,2019-06-17T15:09:02.746958
