seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
436.0,44383.0,3546.0,954.0,11146.0,2447.0,-10.0,49.0,160.0,58,F,1,2019-06-19T14:13:17.438597
472.0,43239.0,3731.0,931.0,10893.0,2245.0,107.0,49.0,160.0,58,F,1,2019-06-19T14:13:17.975914
294.0,43414.0,3751.0,888.0,10700.0,2210.0,159.0,49.0,160.0,58,F,1,2019-06-19T14:13:18.575093
379.0,44474.0,3643.0,906.0,11049.0,1729.0,63.0,49.0,160.0,58,F,1,2019-06-19T14:13:19.112016
307.0,46645.0,3706.0,754.0,10723.0,2198.0,-116.0,49.0,160.0,58,F,1,2019-06-19T14:13:19.711544
1228.0,57062.0,3376.0,866.0,10984.0,1959.0,-265.0,49.0,160.0,58,F,1,2019-06-19T14:13:20.248353
1186.0,56512.0,3477.0,905.0,9934.0,2342.0,2.0,49.0,160.0,58,F,1,2019-06-19T14:13:20.847966
1478.0,57396.0,3399.0,921.0,10702.0,1893.0,12.0,49.0,160.0,58,F,1,2019-06-19T14:13:21.384159
1715.0,58488.0,3451.0,951.0,12430.0,510.0,16.0,49.0,160.0,58,F,1,2019-06-19T14:13:21.984582
1030.0,57521.0,3483.0,826.0,11447.0,1026.0,7.0,49.0,160.0,58,F,1,2019-06-19T14:13:22.520284
1663.0,57995.0,3342.0,830.0,11695.0,1470.0,28.0,49.0,160.0,58,F,1,2019-06-19T14:13:23.121114
1898.0,53860.0,3607.0,866.0,10170.0,3475.0,-22.0,49.0,160.0,58,F,1,2019-06-19T14:13:23.656329
1746.0,54430.0,3524.0,868.0,10417.0,2948.0,143.0,49.0,160.0,58,F,1,2019-06-19T14:13:24.257689
1741.0,55844.0,3460.0,883.0,10563.0,2904.0,117.0,49.0,160.0,58,F,1,2019-06-19T14:13:24.792345
1734.0,56163.0,3493.0,986.0,10603.0,2865.0,60.0,49.0,160.0,58,F,1,2019-06-19T14:13:25.394228
1614.0,56379.0,3422.0,873.0,10532.0,2494.0,37.0,49.0,160.0,58,F,1,2019-06-19T14:13:25.928330
1610.0,55792.0,3414.0,1004.0,10207.0,2626.0,56.0,49.0,160.0,58,F,1,2019-06-19T14:13:26.530817
1526.0,54301.0,3451.0,838.0,9935.0,2724.0,145.0,49.0,160.0,58,F,1,2019-06-19T14:13:27.064481
1056.0,53594.0,3564.0,887.0,10171.0,2488.0,91.0,49.0,160.0,58,F,1,2019-06-19T14:13:27.667315
76.0,39492.0,4758.0,919.0,10097.0,2034.0,551.0,49.0,160.0,58,F,1,2019-06-19T14:13:28.200355
