seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
32369.0,41539.0,26155.0,17591.0,9179.0,-2650.0,17206.0,60.0,180.0,26,M,2,2019-06-19T11:37:25.815059
32362.0,41490.0,26104.0,17678.0,9144.0,-2617.0,17222.0,60.0,180.0,26,M,2,2019-06-19T11:37:26.410110
32428.0,41513.0,26137.0,17681.0,8535.0,-2744.0,17170.0,60.0,180.0,26,M,2,2019-06-19T11:37:26.977095
32340.0,41524.0,26159.0,17705.0,8901.0,-2771.0,17164.0,60.0,180.0,26,M,2,2019-06-19T11:37:27.570658
32456.0,41469.0,26018.0,17719.0,7969.0,-2725.0,17095.0,60.0,180.0,26,M,2,2019-06-19T11:37:28.113012
32293.0,41436.0,26040.0,17702.0,8767.0,-2747.0,17269.0,60.0,180.0,26,M,2,2019-06-19T11:37:28.706546
32681.0,41189.0,26156.0,17897.0,9158.0,-2742.0,17692.0,60.0,180.0,26,M,2,2019-06-19T11:37:29.248066
32488.0,41351.0,25977.0,17763.0,8494.0,-2686.0,17047.0,60.0,180.0,26,M,2,2019-06-19T11:37:29.842232
32490.0,41243.0,25956.0,17719.0,8797.0,-2788.0,17205.0,60.0,180.0,26,M,2,2019-06-19T11:37:30.383499
32454.0,41213.0,26021.0,17743.0,9193.0,-2783.0,17270.0,60.0,180.0,26,M,2,2019-06-19T11:37:30.978206
32505.0,41126.0,25899.0,17729.0,9084.0,-2772.0,17376.0,60.0,180.0,26,M,2,2019-06-19T11:37:31.519448
32495.0,41202.0,25840.0,17614.0,8734.0,-2801.0,17261.0,60.0,180.0,26,M,2,2019-06-19T11:37:32.113940
32526.0,41161.0,25959.0,17661.0,8962.0,-2731.0,17145.0,60.0,180.0,26,M,2,2019-06-19T11:37:32.654208
32862.0,41220.0,25976.0,17691.0,8834.0,-2777.0,17127.0,60.0,180.0,26,M,2,2019-06-19T11:37:33.249761
32419.0,40914.0,26015.0,17687.0,8778.0,-2811.0,17483.0,60.0,180.0,26,M,2,2019-06-19T11:37:33.789897
32163.0,40806.0,26178.0,17807.0,8490.0,-2805.0,17741.0,60.0,180.0,26,M,2,2019-06-19T11:37:34.385646
32474.0,41102.0,25947.0,17563.0,8075.0,-2909.0,17338.0,60.0,180.0,26,M,2,2019-06-19T11:37:34.924819
32674.0,41042.0,26070.0,17580.0,7851.0,-2905.0,17121.0,60.0,180.0,26,M,2,2019-06-19T11:37:35.521324
32654.0,41145.0,26121.0,17657.0,7632.0,-2846.0,16824.0,60.0,180.0,26,M,2,2019-06-19T11:37:36.059839
32604.0,41123.0,26247.0,17686.0,7490.0,-2894.0,17113.0,60.0,180.0,26,M,2,2019-06-19T11:37:36.657117
