seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
20626.0,54186.0,18766.0,2959.0,-458.0,-7531.0,-1406.0,87.0,175.0,26,M,2,2019-06-19T14:55:59.060497
23778.0,58928.0,19766.0,2941.0,-398.0,-7383.0,-1216.0,87.0,175.0,26,M,2,2019-06-19T14:55:59.644037
22092.0,57605.0,15816.0,2976.0,-633.0,-7543.0,-1319.0,87.0,175.0,26,M,2,2019-06-19T14:56:00.196288
21276.0,54004.0,16539.0,3055.0,-682.0,-7505.0,-1231.0,87.0,175.0,26,M,2,2019-06-19T14:56:00.780131
21175.0,54501.0,16928.0,3058.0,-784.0,-7526.0,-1238.0,87.0,175.0,26,M,2,2019-06-19T14:56:01.331858
20836.0,54876.0,16808.0,3018.0,-812.0,-7557.0,-1178.0,87.0,175.0,26,M,2,2019-06-19T14:56:01.916235
21129.0,54644.0,16868.0,3054.0,-840.0,-7613.0,-1265.0,87.0,175.0,26,M,2,2019-06-19T14:56:02.467171
21135.0,54342.0,16861.0,3029.0,-898.0,-7630.0,-1221.0,87.0,175.0,26,M,2,2019-06-19T14:56:03.052215
20070.0,51994.0,17642.0,3032.0,-750.0,-7621.0,-1105.0,87.0,175.0,26,M,2,2019-06-19T14:56:03.602648
21903.0,56053.0,17043.0,3125.0,-671.0,-7639.0,-1111.0,87.0,175.0,26,M,2,2019-06-19T14:56:04.188196
21972.0,60604.0,16385.0,2998.0,-734.0,-7665.0,-1084.0,87.0,175.0,26,M,2,2019-06-19T14:56:04.738095
21555.0,55852.0,16508.0,2987.0,-829.0,-7712.0,-1225.0,87.0,175.0,26,M,2,2019-06-19T14:56:05.324237
21628.0,53797.0,17831.0,3034.0,-620.0,-7649.0,-1150.0,87.0,175.0,26,M,2,2019-06-19T14:56:05.873322
22078.0,57994.0,16018.0,2988.0,-533.0,-7708.0,-845.0,87.0,175.0,26,M,2,2019-06-19T14:56:06.460193
21266.0,54561.0,16384.0,3018.0,-432.0,-7788.0,-883.0,87.0,175.0,26,M,2,2019-06-19T14:56:07.008915
21634.0,56567.0,16385.0,2915.0,-628.0,-7714.0,-935.0,87.0,175.0,26,M,2,2019-06-19T14:56:07.596187
21253.0,56254.0,16360.0,2964.0,-520.0,-7764.0,-890.0,87.0,175.0,26,M,2,2019-06-19T14:56:08.144062
21471.0,56811.0,16387.0,2937.0,-561.0,-7772.0,-858.0,87.0,175.0,26,M,2,2019-06-19T14:56:08.732006
21870.0,55783.0,16066.0,2984.0,-667.0,-7768.0,-944.0,87.0,175.0,26,M,2,2019-06-19T14:56:09.279583
22073.0,56846.0,15646.0,3035.0,-740.0,-7774.0,-752.0,87.0,175.0,26,M,2,2019-06-19T14:56:09.868069
