seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
14477.0,22727.0,16560.0,17848.0,-16584.0,-811.0,7831.0,57.0,150.0,53,F,2,2019-06-17T16:26:09.068372
14515.0,22353.0,16228.0,17888.0,-16568.0,-927.0,7468.0,57.0,150.0,53,F,2,2019-06-17T16:26:09.636523
14534.0,22446.0,16296.0,17905.0,-16761.0,-824.0,7426.0,57.0,150.0,53,F,2,2019-06-17T16:26:10.204054
14514.0,22346.0,16252.0,17897.0,-16850.0,-833.0,7373.0,57.0,150.0,53,F,2,2019-06-17T16:26:10.771594
14475.0,22445.0,16260.0,17836.0,-17022.0,-854.0,7306.0,57.0,150.0,53,F,2,2019-06-17T16:26:11.339105
14673.0,22351.0,16231.0,17867.0,-16996.0,-858.0,7411.0,57.0,150.0,53,F,2,2019-06-17T16:26:11.906682
14497.0,22324.0,16282.0,17822.0,-17019.0,-911.0,7478.0,57.0,150.0,53,F,2,2019-06-17T16:26:12.474262
14537.0,22435.0,16321.0,17710.0,-17166.0,-895.0,7453.0,57.0,150.0,53,F,2,2019-06-17T16:26:13.041743
14534.0,22267.0,16163.0,17649.0,-17205.0,-840.0,7403.0,57.0,150.0,53,F,2,2019-06-17T16:26:13.608772
14943.0,22479.0,16191.0,17664.0,-17374.0,-886.0,7368.0,57.0,150.0,53,F,2,2019-06-17T16:26:14.176827
14945.0,22381.0,16211.0,17677.0,-17376.0,-882.0,7416.0,57.0,150.0,53,F,2,2019-06-17T16:26:14.744435
15126.0,22465.0,16289.0,17608.0,-17390.0,-842.0,7533.0,57.0,150.0,53,F,2,2019-06-17T16:26:15.311663
15108.0,22413.0,16230.0,17614.0,-17418.0,-875.0,7473.0,57.0,150.0,53,F,2,2019-06-17T16:26:15.879461
14965.0,22440.0,16275.0,17667.0,-17369.0,-818.0,7555.0,57.0,150.0,53,F,2,2019-06-17T16:26:16.446970
14586.0,22564.0,16321.0,17717.0,-17147.0,-777.0,7523.0,57.0,150.0,53,F,2,2019-06-17T16:26:17.014553
14402.0,22754.0,16360.0,17520.0,-17235.0,-819.0,7497.0,57.0,150.0,53,F,2,2019-06-17T16:26:17.582102
14487.0,22430.0,16438.0,17891.0,-17243.0,-789.0,7470.0,57.0,150.0,53,F,2,2019-06-17T16:26:18.149687
14477.0,22716.0,16432.0,17784.0,-17117.0,-777.0,7690.0,57.0,150.0,53,F,2,2019-06-17T16:26:18.717398
14404.0,22896.0,16330.0,17842.0,-16997.0,-703.0,7822.0,57.0,150.0,53,F,2,2019-06-17T16:26:19.284847
14559.0,22495.0,16148.0,17989.0,-17001.0,-760.0,7713.0,57.0,150.0,53,F,2,2019-06-17T16:26:19.852471
