seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
32656.0,34870.0,24691.0,26276.0,13302.0,-2062.0,14591.0,55.0,163.0,25,F,2,2019-06-17T14:46:21.957978
32533.0,34760.0,24577.0,26181.0,12692.0,-2072.0,14506.0,55.0,163.0,25,F,2,2019-06-17T14:46:22.510743
32538.0,34716.0,24293.0,26178.0,12705.0,-2030.0,14682.0,55.0,163.0,25,F,2,2019-06-17T14:46:23.093793
32635.0,34534.0,24112.0,26103.0,12594.0,-2092.0,14726.0,55.0,163.0,25,F,2,2019-06-17T14:46:23.646156
32628.0,34775.0,24240.0,26170.0,12614.0,-2033.0,15197.0,55.0,163.0,25,F,2,2019-06-17T14:46:24.229517
32560.0,34438.0,24068.0,26073.0,12528.0,-2058.0,15233.0,55.0,163.0,25,F,2,2019-06-17T14:46:24.781391
32503.0,34570.0,23989.0,25722.0,12538.0,-2044.0,15039.0,55.0,163.0,25,F,2,2019-06-17T14:46:25.365318
32523.0,34311.0,23812.0,25702.0,12493.0,-2035.0,14735.0,55.0,163.0,25,F,2,2019-06-17T14:46:25.916666
32546.0,34252.0,23734.0,25753.0,12543.0,-2000.0,14691.0,55.0,163.0,25,F,2,2019-06-17T14:46:26.501031
32337.0,34176.0,23757.0,25738.0,12515.0,-2117.0,14691.0,55.0,163.0,25,F,2,2019-06-17T14:46:27.051874
32652.0,34396.0,23690.0,25916.0,12446.0,-2036.0,15379.0,55.0,163.0,25,F,2,2019-06-17T14:46:27.636551
31909.0,34154.0,23474.0,26399.0,12600.0,-2009.0,14579.0,55.0,163.0,25,F,2,2019-06-17T14:46:28.187176
32168.0,34255.0,23388.0,26463.0,12792.0,-2000.0,14963.0,55.0,163.0,25,F,2,2019-06-17T14:46:28.772286
31845.0,34218.0,23320.0,27085.0,12813.0,-2023.0,14403.0,55.0,163.0,25,F,2,2019-06-17T14:46:29.322383
31172.0,33994.0,23464.0,30623.0,14034.0,-2054.0,13976.0,55.0,163.0,25,F,2,2019-06-17T14:46:29.908139
31179.0,34441.0,24115.0,29859.0,14307.0,-2024.0,13811.0,55.0,163.0,25,F,2,2019-06-17T14:46:30.457721
31773.0,33523.0,23689.0,27734.0,13928.0,-2095.0,13998.0,55.0,163.0,25,F,2,2019-06-17T14:46:31.043821
31489.0,33193.0,23211.0,27515.0,13627.0,-2001.0,14579.0,55.0,163.0,25,F,2,2019-06-17T14:46:31.592801
31058.0,33064.0,22955.0,27766.0,13333.0,-2000.0,14764.0,55.0,163.0,25,F,2,2019-06-17T14:46:32.179627
30244.0,33203.0,23568.0,27396.0,13069.0,-2061.0,14139.0,55.0,163.0,25,F,2,2019-06-17T14:46:32.728313
