seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
118616.0,36230.0,21556.0,18183.0,31539.0,-1965.0,834.0,63.0,170.0,26,M,2,2019-06-19T12:51:58.544834
117205.0,36079.0,21588.0,18117.0,30953.0,-1939.0,975.0,63.0,170.0,26,M,2,2019-06-19T12:51:59.090608
116251.0,35954.0,21590.0,18177.0,31153.0,-1951.0,1199.0,63.0,170.0,26,M,2,2019-06-19T12:51:59.680774
116491.0,35873.0,21497.0,18118.0,30767.0,-1930.0,1259.0,63.0,170.0,26,M,2,2019-06-19T12:52:00.226570
115088.0,35933.0,21581.0,18061.0,30014.0,-1964.0,1244.0,63.0,170.0,26,M,2,2019-06-19T12:52:00.816891
115651.0,35694.0,21452.0,18099.0,30537.0,-1955.0,1338.0,63.0,170.0,26,M,2,2019-06-19T12:52:01.362044
115577.0,35762.0,21364.0,17919.0,31006.0,-1969.0,1383.0,63.0,170.0,26,M,2,2019-06-19T12:52:01.952816
115336.0,35726.0,21416.0,17981.0,30652.0,-1971.0,1278.0,63.0,170.0,26,M,2,2019-06-19T12:52:02.497375
115038.0,35662.0,21388.0,17931.0,30810.0,-1992.0,1352.0,63.0,170.0,26,M,2,2019-06-19T12:52:03.088683
115457.0,35624.0,21299.0,17957.0,31181.0,-1966.0,1403.0,63.0,170.0,26,M,2,2019-06-19T12:52:03.632570
115087.0,35727.0,21405.0,17911.0,30226.0,-1938.0,1479.0,63.0,170.0,26,M,2,2019-06-19T12:52:04.224765
115080.0,35646.0,21389.0,17940.0,29852.0,-1919.0,1474.0,63.0,170.0,26,M,2,2019-06-19T12:52:04.768033
114962.0,35595.0,21303.0,17885.0,29615.0,-1991.0,1602.0,63.0,170.0,26,M,2,2019-06-19T12:52:05.360821
114820.0,35396.0,21196.0,17770.0,29611.0,-1998.0,1726.0,63.0,170.0,26,M,2,2019-06-19T12:52:05.903387
116261.0,34987.0,21203.0,17922.0,29978.0,-1954.0,1635.0,63.0,170.0,26,M,2,2019-06-19T12:52:06.496676
115622.0,35532.0,21143.0,17734.0,29320.0,-1966.0,1708.0,63.0,170.0,26,M,2,2019-06-19T12:52:07.038762
115950.0,35432.0,21162.0,17788.0,28603.0,-2049.0,1810.0,63.0,170.0,26,M,2,2019-06-19T12:52:07.632708
114726.0,35335.0,21126.0,17752.0,28498.0,-2129.0,1933.0,63.0,170.0,26,M,2,2019-06-19T12:52:08.173995
115181.0,35095.0,21081.0,17715.0,30489.0,-2065.0,1893.0,63.0,170.0,26,M,2,2019-06-19T12:52:08.768535
114252.0,35660.0,21075.0,17549.0,28733.0,-2046.0,2044.0,63.0,170.0,26,M,2,2019-06-19T12:52:09.309703
