seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
50614.0,64351.0,26032.0,9338.0,4328.0,-13532.0,13947.0,70.0,180.0,22,F,2,2019-06-18T12:46:24.653726
50728.0,63527.0,25829.0,9323.0,4259.0,-13610.0,13377.0,70.0,180.0,22,F,2,2019-06-18T12:46:25.177304
44864.0,61302.0,26500.0,9806.0,3948.0,-13569.0,17386.0,70.0,180.0,22,F,2,2019-06-18T12:46:25.744599
43045.0,60563.0,26052.0,9733.0,3339.0,-13626.0,17705.0,70.0,180.0,22,F,2,2019-06-18T12:46:26.313004
49954.0,67762.0,26256.0,9281.0,2830.0,-13623.0,13132.0,70.0,180.0,22,F,2,2019-06-18T12:46:26.880864
48364.0,66637.0,26194.0,8767.0,2785.0,-13644.0,13808.0,70.0,180.0,22,F,2,2019-06-18T12:46:27.448699
50435.0,69449.0,25861.0,8653.0,2693.0,-13738.0,13139.0,70.0,180.0,22,F,2,2019-06-18T12:46:28.016413
48362.0,68253.0,26025.0,8860.0,2616.0,-13767.0,13829.0,70.0,180.0,22,F,2,2019-06-18T12:46:28.584305
49232.0,68139.0,25909.0,9324.0,2594.0,-13791.0,13937.0,70.0,180.0,22,F,2,2019-06-18T12:46:29.152137
49217.0,67740.0,25842.0,8978.0,2763.0,-13794.0,13911.0,70.0,180.0,22,F,2,2019-06-18T12:46:29.720042
48362.0,68401.0,25906.0,8794.0,2690.0,-13809.0,13621.0,70.0,180.0,22,F,2,2019-06-18T12:46:30.287868
48742.0,68748.0,25872.0,8855.0,2645.0,-13862.0,13450.0,70.0,180.0,22,F,2,2019-06-18T12:46:30.855683
49068.0,68804.0,25902.0,8859.0,2625.0,-13925.0,13335.0,70.0,180.0,22,F,2,2019-06-18T12:46:31.423447
48966.0,69861.0,26008.0,8723.0,2662.0,-13928.0,13254.0,70.0,180.0,22,F,2,2019-06-18T12:46:31.991300
48364.0,70388.0,26182.0,8786.0,2724.0,-13963.0,13026.0,70.0,180.0,22,F,2,2019-06-18T12:46:32.559130
48096.0,70242.0,26039.0,8841.0,2792.0,-14007.0,13043.0,70.0,180.0,22,F,2,2019-06-18T12:46:33.126872
48305.0,69737.0,26020.0,8902.0,2814.0,-14027.0,12981.0,70.0,180.0,22,F,2,2019-06-18T12:46:33.694768
48902.0,68861.0,25887.0,8878.0,2752.0,-14120.0,13095.0,70.0,180.0,22,F,2,2019-06-18T12:46:34.262478
48966.0,68585.0,25861.0,8912.0,2772.0,-14083.0,13375.0,70.0,180.0,22,F,2,2019-06-18T12:46:34.830345
48345.0,69042.0,25930.0,8870.0,2692.0,-14069.0,13299.0,70.0,180.0,22,F,2,2019-06-18T12:46:35.398100
