seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4571.0,6511.0,3360.0,-519.0,31304.0,7125.0,4354.0,44.0,155.0,20,F,3,2019-06-19T14:43:21.203685
-6045.0,4936.0,3484.0,-534.0,25213.0,7529.0,4359.0,44.0,155.0,20,F,3,2019-06-19T14:43:21.726093
-5936.0,4812.0,4555.0,-496.0,24662.0,11115.0,4327.0,44.0,155.0,20,F,3,2019-06-19T14:43:22.293751
-6566.0,4320.0,5046.0,-445.0,25287.0,9710.0,4351.0,44.0,155.0,20,F,3,2019-06-19T14:43:22.861473
-6607.0,4425.0,4801.0,-485.0,25685.0,9273.0,4356.0,44.0,155.0,20,F,3,2019-06-19T14:43:23.429258
-7004.0,4038.0,5462.0,-579.0,26549.0,9674.0,4408.0,44.0,155.0,20,F,3,2019-06-19T14:43:23.996968
-7257.0,3998.0,5925.0,-473.0,26155.0,9358.0,4333.0,44.0,155.0,20,F,3,2019-06-19T14:43:24.564075
-7040.0,4088.0,5292.0,-535.0,26708.0,10038.0,4340.0,44.0,155.0,20,F,3,2019-06-19T14:43:25.132379
-6967.0,4194.0,5073.0,-473.0,26637.0,9379.0,4400.0,44.0,155.0,20,F,3,2019-06-19T14:43:25.700134
-6873.0,4279.0,4877.0,-457.0,25082.0,9158.0,4341.0,44.0,155.0,20,F,3,2019-06-19T14:43:26.267770
-6926.0,4228.0,4631.0,-590.0,25812.0,8824.0,4389.0,44.0,155.0,20,F,3,2019-06-19T14:43:26.835566
-7033.0,4223.0,4568.0,-551.0,28578.0,10143.0,4416.0,44.0,155.0,20,F,3,2019-06-19T14:43:27.403234
-6931.0,4232.0,4615.0,-527.0,28995.0,9980.0,4378.0,44.0,155.0,20,F,3,2019-06-19T14:43:27.971089
-6979.0,4248.0,4568.0,-468.0,29252.0,10425.0,4377.0,44.0,155.0,20,F,3,2019-06-19T14:43:28.538682
-6912.0,4267.0,4303.0,-526.0,30333.0,11152.0,4336.0,44.0,155.0,20,F,3,2019-06-19T14:43:29.106407
-6993.0,4264.0,4318.0,-507.0,29397.0,10351.0,4376.0,44.0,155.0,20,F,3,2019-06-19T14:43:29.674123
-6993.0,4342.0,4266.0,-533.0,26789.0,9880.0,4385.0,44.0,155.0,20,F,3,2019-06-19T14:43:30.241818
-6842.0,4490.0,4183.0,-652.0,28047.0,9621.0,4395.0,44.0,155.0,20,F,3,2019-06-19T14:43:30.809615
-6926.0,4447.0,4323.0,-528.0,28648.0,10170.0,4358.0,44.0,155.0,20,F,3,2019-06-19T14:43:31.377264
-7030.0,4319.0,4199.0,-553.0,29372.0,10416.0,4380.0,44.0,155.0,20,F,3,2019-06-19T14:43:31.944910
