seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2163.0,20002.0,30600.0,29014.0,20293.0,19373.0,-1720.0,74.0,178.0,24,M,3,2019-06-17T16:10:28.392674
2209.0,19811.0,19576.0,25015.0,14201.0,21559.0,-1634.0,74.0,178.0,24,M,3,2019-06-17T16:10:28.991817
2236.0,19932.0,19401.0,24984.0,10357.0,20474.0,-1691.0,74.0,178.0,24,M,3,2019-06-17T16:10:29.527482
2282.0,20009.0,19342.0,25166.0,9011.0,20377.0,-1674.0,74.0,178.0,24,M,3,2019-06-17T16:10:30.127464
2133.0,19696.0,19422.0,25259.0,8832.0,21124.0,-1692.0,74.0,178.0,24,M,3,2019-06-17T16:10:30.662546
2175.0,19735.0,18931.0,25626.0,10820.0,22467.0,-1712.0,74.0,178.0,24,M,3,2019-06-17T16:10:31.263230
1814.0,19345.0,18900.0,25899.0,11263.0,21909.0,-1624.0,74.0,178.0,24,M,3,2019-06-17T16:10:31.797370
1593.0,19166.0,18796.0,25853.0,10154.0,19826.0,-1683.0,74.0,178.0,24,M,3,2019-06-17T16:10:32.399023
1426.0,19209.0,19592.0,25283.0,8270.0,18615.0,-1696.0,74.0,178.0,24,M,3,2019-06-17T16:10:32.932395
1586.0,19130.0,19121.0,25090.0,6428.0,19104.0,-1661.0,74.0,178.0,24,M,3,2019-06-17T16:10:33.534777
1534.0,19253.0,19425.0,25201.0,5532.0,22906.0,-1626.0,74.0,178.0,24,M,3,2019-06-17T16:10:34.067194
1301.0,19168.0,20215.0,25644.0,9494.0,26060.0,-1607.0,74.0,178.0,24,M,3,2019-06-17T16:10:34.670514
1182.0,19130.0,19883.0,25842.0,9185.0,25197.0,-1576.0,74.0,178.0,24,M,3,2019-06-17T16:10:35.202274
966.0,18854.0,19897.0,26032.0,8972.0,26489.0,-1609.0,74.0,178.0,24,M,3,2019-06-17T16:10:35.806252
1073.0,19022.0,19806.0,26192.0,8368.0,26657.0,-1635.0,74.0,178.0,24,M,3,2019-06-17T16:10:36.337327
1156.0,18917.0,19526.0,26452.0,8566.0,26678.0,-1653.0,74.0,178.0,24,M,3,2019-06-17T16:10:36.941967
946.0,18824.0,20130.0,26358.0,11567.0,26508.0,-1654.0,74.0,178.0,24,M,3,2019-06-17T16:10:37.472237
1302.0,19088.0,19812.0,25828.0,8432.0,22459.0,-1635.0,74.0,178.0,24,M,3,2019-06-17T16:10:38.077361
1328.0,18990.0,19524.0,25768.0,8722.0,21155.0,-1683.0,74.0,178.0,24,M,3,2019-06-17T16:10:38.607195
1345.0,18922.0,19399.0,25769.0,8024.0,21865.0,-1649.0,74.0,178.0,24,M,3,2019-06-17T16:10:39.213331
