seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
12887.0,18038.0,26518.0,25270.0,27078.0,8407.0,-1754.0,55.0,163.0,25,F,3,2019-06-17T14:46:51.554863
12622.0,17849.0,26613.0,24984.0,23302.0,8919.0,-1767.0,55.0,163.0,25,F,3,2019-06-17T14:46:52.123033
12731.0,17893.0,26656.0,25161.0,19839.0,8272.0,-1847.0,55.0,163.0,25,F,3,2019-06-17T14:46:52.726046
12820.0,18020.0,26720.0,25137.0,21335.0,8754.0,-1776.0,55.0,163.0,25,F,3,2019-06-17T14:46:53.258309
13447.0,18380.0,26249.0,25702.0,21605.0,9986.0,-1756.0,55.0,163.0,25,F,3,2019-06-17T14:46:53.861765
13214.0,18024.0,26350.0,25574.0,20651.0,10229.0,-1777.0,55.0,163.0,25,F,3,2019-06-17T14:46:54.393610
13212.0,18090.0,26466.0,25511.0,19225.0,8948.0,-1813.0,55.0,163.0,25,F,3,2019-06-17T14:46:54.997328
12890.0,18052.0,26553.0,25380.0,20076.0,10137.0,-1760.0,55.0,163.0,25,F,3,2019-06-17T14:46:55.528994
12564.0,17829.0,26873.0,24970.0,19385.0,8774.0,-1792.0,55.0,163.0,25,F,3,2019-06-17T14:46:56.133013
13821.0,18458.0,26254.0,25606.0,25332.0,12288.0,-1818.0,55.0,163.0,25,F,3,2019-06-17T14:46:56.664301
12877.0,18048.0,26639.0,25130.0,25702.0,12252.0,-1910.0,55.0,163.0,25,F,3,2019-06-17T14:46:57.268703
12847.0,17992.0,26840.0,25073.0,24466.0,11479.0,-1874.0,55.0,163.0,25,F,3,2019-06-17T14:46:57.799547
12670.0,17988.0,27018.0,25009.0,22178.0,9320.0,-1911.0,55.0,163.0,25,F,3,2019-06-17T14:46:58.404412
12853.0,18313.0,27266.0,25102.0,23275.0,8208.0,-1874.0,55.0,163.0,25,F,3,2019-06-17T14:46:58.934770
12709.0,18093.0,26939.0,24924.0,22663.0,9201.0,-1854.0,55.0,163.0,25,F,3,2019-06-17T14:46:59.540174
12571.0,17986.0,26841.0,24949.0,21957.0,9024.0,-1884.0,55.0,163.0,25,F,3,2019-06-17T14:47:00.069991
12842.0,18179.0,27090.0,24924.0,23003.0,7885.0,-1862.0,55.0,163.0,25,F,3,2019-06-17T14:47:00.675863
12874.0,18307.0,27131.0,25015.0,24028.0,7952.0,-1882.0,55.0,163.0,25,F,3,2019-06-17T14:47:01.205232
12593.0,17965.0,26995.0,24874.0,23172.0,8950.0,-1900.0,55.0,163.0,25,F,3,2019-06-17T14:47:01.811566
12731.0,18141.0,26942.0,24922.0,22453.0,8851.0,-1937.0,55.0,163.0,25,F,3,2019-06-17T14:47:02.340469
