seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
7325.0,21020.0,25756.0,18643.0,26963.0,9771.0,-3731.0,62.0,165.0,24,F,3,2019-06-19T11:44:44.782362
7345.0,21018.0,25695.0,18665.0,26742.0,10289.0,-3813.0,62.0,165.0,24,F,3,2019-06-19T11:44:45.369813
7239.0,20843.0,25736.0,18665.0,26800.0,10397.0,-3776.0,62.0,165.0,24,F,3,2019-06-19T11:44:45.937371
7182.0,20808.0,25557.0,18645.0,26782.0,10324.0,-3825.0,62.0,165.0,24,F,3,2019-06-19T11:44:46.537922
7222.0,20838.0,25422.0,18695.0,26753.0,10210.0,-3794.0,62.0,165.0,24,F,3,2019-06-19T11:44:47.072933
7392.0,21069.0,25496.0,18618.0,26812.0,9867.0,-3904.0,62.0,165.0,24,F,3,2019-06-19T11:44:47.673911
7280.0,20938.0,25437.0,18674.0,26560.0,10286.0,-3824.0,62.0,165.0,24,F,3,2019-06-19T11:44:48.208364
7168.0,20862.0,25498.0,18624.0,26191.0,10468.0,-3805.0,62.0,165.0,24,F,3,2019-06-19T11:44:48.809750
7109.0,20785.0,25625.0,18557.0,26083.0,10415.0,-3844.0,62.0,165.0,24,F,3,2019-06-19T11:44:49.343661
7195.0,20882.0,25769.0,18557.0,26244.0,10095.0,-3841.0,62.0,165.0,24,F,3,2019-06-19T11:44:49.945591
7238.0,20828.0,25702.0,18599.0,26106.0,10800.0,-3839.0,62.0,165.0,24,F,3,2019-06-19T11:44:50.479040
7204.0,20802.0,25776.0,18602.0,25996.0,10715.0,-3822.0,62.0,165.0,24,F,3,2019-06-19T11:44:51.081136
7157.0,20778.0,25695.0,18496.0,26081.0,10564.0,-3868.0,62.0,165.0,24,F,3,2019-06-19T11:44:51.614417
7327.0,20876.0,25597.0,18485.0,26353.0,10006.0,-3841.0,62.0,165.0,24,F,3,2019-06-19T11:44:52.217436
7203.0,20806.0,25817.0,18412.0,26131.0,10984.0,-3871.0,62.0,165.0,24,F,3,2019-06-19T11:44:52.749566
7682.0,21264.0,25727.0,19025.0,25908.0,10508.0,-3956.0,62.0,165.0,24,F,3,2019-06-19T11:44:53.353266
7274.0,21084.0,25667.0,18429.0,26042.0,10525.0,-3891.0,62.0,165.0,24,F,3,2019-06-19T11:44:53.885143
7417.0,21260.0,25845.0,18503.0,26202.0,10144.0,-3864.0,62.0,165.0,24,F,3,2019-06-19T11:44:54.489397
7293.0,21240.0,25854.0,18658.0,26020.0,10508.0,-3884.0,62.0,165.0,24,F,3,2019-06-19T11:44:55.020234
7109.0,20741.0,25249.0,18543.0,25595.0,10452.0,-3876.0,62.0,165.0,24,F,3,2019-06-19T11:44:55.625192
