seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-6192.0,13393.0,33408.0,27966.0,42245.0,17967.0,-10669.0,83.0,180.0,21,M,3,2019-06-19T12:24:52.028614
-5670.0,12930.0,32606.0,29234.0,51116.0,20037.0,-10748.0,83.0,180.0,21,M,3,2019-06-19T12:24:52.585179
-7670.0,11926.0,35929.0,30961.0,53835.0,24821.0,-10757.0,83.0,180.0,21,M,3,2019-06-19T12:24:53.165149
-6980.0,11863.0,33745.0,31045.0,52519.0,22498.0,-10725.0,83.0,180.0,21,M,3,2019-06-19T12:24:53.721353
-7124.0,11801.0,33496.0,31593.0,45953.0,22042.0,-10667.0,83.0,180.0,21,M,3,2019-06-19T12:24:54.301917
-7965.0,11573.0,35428.0,32057.0,44996.0,20521.0,-10638.0,83.0,180.0,21,M,3,2019-06-19T12:24:54.857537
-8297.0,11251.0,36342.0,32122.0,42919.0,19766.0,-10612.0,83.0,180.0,21,M,3,2019-06-19T12:24:55.438555
-8408.0,11220.0,36657.0,32019.0,40972.0,19005.0,-10603.0,83.0,180.0,21,M,3,2019-06-19T12:24:55.993828
-8582.0,10870.0,36803.0,32705.0,41099.0,19033.0,-10617.0,83.0,180.0,21,M,3,2019-06-19T12:24:56.575430
-8633.0,10658.0,36633.0,33234.0,40430.0,18811.0,-10653.0,83.0,180.0,21,M,3,2019-06-19T12:24:57.130023
-8620.0,10708.0,36655.0,33225.0,40932.0,18367.0,-10685.0,83.0,180.0,21,M,3,2019-06-19T12:24:57.712207
-8693.0,10687.0,36830.0,33250.0,40432.0,18379.0,-10638.0,83.0,180.0,21,M,3,2019-06-19T12:24:58.266323
-8650.0,10730.0,36665.0,33144.0,40065.0,18516.0,-10615.0,83.0,180.0,21,M,3,2019-06-19T12:24:58.848769
-8655.0,10699.0,36774.0,33149.0,40252.0,18296.0,-10651.0,83.0,180.0,21,M,3,2019-06-19T12:24:59.402454
-8763.0,10665.0,37077.0,33270.0,39495.0,18512.0,-10596.0,83.0,180.0,21,M,3,2019-06-19T12:24:59.985453
-8750.0,10704.0,37041.0,33093.0,39502.0,18678.0,-10613.0,83.0,180.0,21,M,3,2019-06-19T12:25:00.538795
-8648.0,10782.0,37250.0,32868.0,40060.0,18013.0,-10642.0,83.0,180.0,21,M,3,2019-06-19T12:25:01.121948
-8842.0,10668.0,37252.0,33205.0,39707.0,18487.0,-10610.0,83.0,180.0,21,M,3,2019-06-19T12:25:01.675283
-8936.0,10555.0,37545.0,33208.0,39270.0,18627.0,-10615.0,83.0,180.0,21,M,3,2019-06-19T12:25:02.258583
-8899.0,10694.0,37576.0,33082.0,39801.0,18386.0,-10637.0,83.0,180.0,21,M,3,2019-06-19T12:25:02.811500
