seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6042.0,13656.0,14891.0,17113.0,16404.0,14836.0,-3193.0,57.0,150.0,53,F,3,2019-06-17T16:26:47.663352
6150.0,13565.0,15196.0,17430.0,18463.0,13128.0,-3152.0,57.0,150.0,53,F,3,2019-06-17T16:26:48.242313
6192.0,13431.0,15221.0,17674.0,15641.0,13892.0,-3153.0,57.0,150.0,53,F,3,2019-06-17T16:26:48.798627
6132.0,13386.0,15359.0,17975.0,14684.0,11397.0,-3155.0,57.0,150.0,53,F,3,2019-06-17T16:26:49.377953
6174.0,13452.0,15384.0,18156.0,14152.0,10978.0,-3130.0,57.0,150.0,53,F,3,2019-06-17T16:26:49.933851
6053.0,13346.0,15451.0,18051.0,14912.0,11895.0,-3135.0,57.0,150.0,53,F,3,2019-06-17T16:26:50.513618
5851.0,13320.0,15417.0,18098.0,16121.0,12504.0,-3190.0,57.0,150.0,53,F,3,2019-06-17T16:26:51.068926
5796.0,13271.0,15428.0,17941.0,16047.0,12301.0,-3153.0,57.0,150.0,53,F,3,2019-06-17T16:26:51.649169
5864.0,13295.0,15449.0,17816.0,15574.0,12382.0,-3184.0,57.0,150.0,53,F,3,2019-06-17T16:26:52.204032
5834.0,13199.0,15469.0,17784.0,15350.0,12247.0,-3200.0,57.0,150.0,53,F,3,2019-06-17T16:26:52.785001
5958.0,13259.0,15385.0,17815.0,13539.0,11203.0,-3170.0,57.0,150.0,53,F,3,2019-06-17T16:26:53.339322
5890.0,13250.0,15509.0,17928.0,13210.0,11137.0,-3194.0,57.0,150.0,53,F,3,2019-06-17T16:26:53.920673
5557.0,13214.0,15644.0,17873.0,14390.0,11994.0,-3180.0,57.0,150.0,53,F,3,2019-06-17T16:26:54.474381
5755.0,13187.0,15730.0,17846.0,15574.0,11188.0,-3253.0,57.0,150.0,53,F,3,2019-06-17T16:26:55.055972
5413.0,13179.0,15904.0,17609.0,17711.0,10682.0,-3202.0,57.0,150.0,53,F,3,2019-06-17T16:26:55.609601
5453.0,13146.0,15890.0,17687.0,20893.0,10518.0,-3194.0,57.0,150.0,53,F,3,2019-06-17T16:26:56.192037
5609.0,13087.0,15818.0,17956.0,17531.0,10845.0,-3272.0,57.0,150.0,53,F,3,2019-06-17T16:26:56.744751
5650.0,13131.0,15783.0,17991.0,16853.0,10625.0,-3293.0,57.0,150.0,53,F,3,2019-06-17T16:26:57.327418
5854.0,13088.0,15726.0,17976.0,15590.0,10212.0,-3258.0,57.0,150.0,53,F,3,2019-06-17T16:26:57.879782
5725.0,13130.0,15827.0,17879.0,13663.0,9445.0,-3320.0,57.0,150.0,53,F,3,2019-06-17T16:26:58.463018
