seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
25358.0,17111.0,30748.0,13951.0,19494.0,-176.0,-6366.0,49.0,157.0,19,F,5,2019-06-18T17:19:58.684676
24258.0,17443.0,30755.0,13431.0,16486.0,-69.0,-6267.0,49.0,157.0,19,F,5,2019-06-18T17:19:59.245742
24465.0,17494.0,30767.0,13293.0,16727.0,-104.0,-6286.0,49.0,157.0,19,F,5,2019-06-18T17:19:59.820741
24623.0,17700.0,30569.0,13403.0,16203.0,-12.0,-6291.0,49.0,157.0,19,F,5,2019-06-18T17:20:00.381443
24990.0,17530.0,30135.0,13458.0,15694.0,-77.0,-6338.0,49.0,157.0,19,F,5,2019-06-18T17:20:00.956968
25012.0,17592.0,30214.0,13526.0,14928.0,85.0,-6244.0,49.0,157.0,19,F,5,2019-06-18T17:20:01.517016
25285.0,17977.0,30250.0,13187.0,10747.0,70.0,-6218.0,49.0,157.0,19,F,5,2019-06-18T17:20:02.092878
25257.0,18177.0,30200.0,12990.0,11287.0,38.0,-6229.0,49.0,157.0,19,F,5,2019-06-18T17:20:02.652541
25287.0,18139.0,30133.0,13458.0,11094.0,68.0,-6273.0,49.0,157.0,19,F,5,2019-06-18T17:20:03.229137
25594.0,18295.0,29970.0,13435.0,9924.0,79.0,-6190.0,49.0,157.0,19,F,5,2019-06-18T17:20:03.788317
25896.0,18042.0,29928.0,13296.0,10915.0,167.0,-6222.0,49.0,157.0,19,F,5,2019-06-18T17:20:04.365207
26052.0,17856.0,29960.0,13294.0,11353.0,84.0,-6189.0,49.0,157.0,19,F,5,2019-06-18T17:20:04.923869
26166.0,18010.0,29960.0,13096.0,11305.0,123.0,-6167.0,49.0,157.0,19,F,5,2019-06-18T17:20:05.501211
26098.0,18019.0,30015.0,12973.0,11658.0,143.0,-6183.0,49.0,157.0,19,F,5,2019-06-18T17:20:06.059476
25724.0,17832.0,30004.0,13107.0,11116.0,224.0,-6138.0,49.0,157.0,19,F,5,2019-06-18T17:20:06.637327
25961.0,17872.0,30043.0,13150.0,10392.0,178.0,-6204.0,49.0,157.0,19,F,5,2019-06-18T17:20:07.195365
25964.0,17882.0,30110.0,13125.0,9894.0,184.0,-6159.0,49.0,157.0,19,F,5,2019-06-18T17:20:07.773755
26133.0,17869.0,30090.0,13103.0,9937.0,187.0,-6087.0,49.0,157.0,19,F,5,2019-06-18T17:20:08.330813
26116.0,17862.0,30013.0,12950.0,9954.0,171.0,-6074.0,49.0,157.0,19,F,5,2019-06-18T17:20:08.909720
25987.0,17619.0,29916.0,13023.0,9770.0,237.0,-6101.0,49.0,157.0,19,F,5,2019-06-18T17:20:09.466655
