seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
632.0,15868.0,16568.0,22080.0,28890.0,2697.0,-12143.0,83.0,180.0,21,M,5,2019-06-19T12:26:01.610836
782.0,15673.0,16560.0,20231.0,29596.0,2741.0,-12153.0,83.0,180.0,21,M,5,2019-06-19T12:26:02.196190
456.0,15350.0,16794.0,20517.0,29779.0,2961.0,-12099.0,83.0,180.0,21,M,5,2019-06-19T12:26:02.747627
236.0,15383.0,17030.0,20600.0,29734.0,2993.0,-12090.0,83.0,180.0,21,M,5,2019-06-19T12:26:03.333252
386.0,15530.0,17290.0,20602.0,29204.0,3025.0,-12073.0,83.0,180.0,21,M,5,2019-06-19T12:26:03.884241
-757.0,9317.0,9320.0,17115.0,34757.0,2601.0,-12019.0,83.0,180.0,21,M,5,2019-06-19T12:26:04.470049
-2587.0,12400.0,18500.0,23009.0,26678.0,2844.0,-11894.0,83.0,180.0,21,M,5,2019-06-19T12:26:05.020492
-3279.0,12744.0,20130.0,24158.0,23578.0,2782.0,-11874.0,83.0,180.0,21,M,5,2019-06-19T12:26:05.606845
-3028.0,12781.0,21140.0,23912.0,24301.0,3012.0,-11782.0,83.0,180.0,21,M,5,2019-06-19T12:26:06.157015
-2933.0,12286.0,21762.0,25758.0,20530.0,2907.0,-11769.0,83.0,180.0,21,M,5,2019-06-19T12:26:06.743588
-3477.0,12716.0,22441.0,25066.0,17574.0,2778.0,-11802.0,83.0,180.0,21,M,5,2019-06-19T12:26:07.293387
-3713.0,12110.0,22365.0,25718.0,17079.0,3214.0,-11815.0,83.0,180.0,21,M,5,2019-06-19T12:26:07.880377
-3695.0,12603.0,23749.0,25484.0,19044.0,3627.0,-11748.0,83.0,180.0,21,M,5,2019-06-19T12:26:08.429835
-3681.0,12722.0,23236.0,25397.0,19409.0,3586.0,-11751.0,83.0,180.0,21,M,5,2019-06-19T12:26:09.016909
-3692.0,12678.0,23280.0,25278.0,19541.0,3571.0,-11708.0,83.0,180.0,21,M,5,2019-06-19T12:26:09.566195
-3485.0,12765.0,23964.0,25267.0,19936.0,3537.0,-11756.0,83.0,180.0,21,M,5,2019-06-19T12:26:10.153796
-3641.0,12819.0,23777.0,25197.0,20341.0,3707.0,-11740.0,83.0,180.0,21,M,5,2019-06-19T12:26:10.702550
-3659.0,12771.0,23634.0,25200.0,20039.0,3791.0,-11731.0,83.0,180.0,21,M,5,2019-06-19T12:26:11.290642
-3469.0,12821.0,23796.0,25249.0,20183.0,3580.0,-11716.0,83.0,180.0,21,M,5,2019-06-19T12:26:11.838955
-3622.0,12810.0,23511.0,25283.0,20845.0,3772.0,-11690.0,83.0,180.0,21,M,5,2019-06-19T12:26:12.427562
