seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1229.0,18744.0,69550.0,-1683.0,-6386.0,11401.0,-5405.0,84.0,182.0,21,M,6,2019-06-19T12:31:59.428076
-1128.0,19094.0,69486.0,-1947.0,-6535.0,10911.0,-5454.0,84.0,182.0,21,M,6,2019-06-19T12:31:59.978250
-1189.0,18961.0,68858.0,-1782.0,-6542.0,12716.0,-5449.0,84.0,182.0,21,M,6,2019-06-19T12:32:00.564437
-1167.0,18669.0,69145.0,-1313.0,-6582.0,13377.0,-5419.0,84.0,182.0,21,M,6,2019-06-19T12:32:01.114098
-1164.0,17372.0,70435.0,-1276.0,-6469.0,14665.0,-5417.0,84.0,182.0,21,M,6,2019-06-19T12:32:01.701065
-1020.0,17329.0,69241.0,-1228.0,-6979.0,16473.0,-5436.0,84.0,182.0,21,M,6,2019-06-19T12:32:02.249882
-896.0,17429.0,68701.0,-1431.0,-7095.0,16362.0,-5400.0,84.0,182.0,21,M,6,2019-06-19T12:32:02.837578
-1002.0,17696.0,68479.0,-1297.0,-7134.0,16191.0,-5378.0,84.0,182.0,21,M,6,2019-06-19T12:32:03.385899
-979.0,17866.0,68477.0,-1256.0,-7153.0,15930.0,-5353.0,84.0,182.0,21,M,6,2019-06-19T12:32:03.973411
-849.0,17765.0,67958.0,-1301.0,-7077.0,16187.0,-5327.0,84.0,182.0,21,M,6,2019-06-19T12:32:04.521658
-963.0,17781.0,67857.0,-1241.0,-7048.0,15863.0,-5335.0,84.0,182.0,21,M,6,2019-06-19T12:32:05.110154
-979.0,18004.0,67744.0,-1109.0,-7119.0,15762.0,-5264.0,84.0,182.0,21,M,6,2019-06-19T12:32:05.657632
-902.0,18036.0,68201.0,-1174.0,-7173.0,15343.0,-5257.0,84.0,182.0,21,M,6,2019-06-19T12:32:06.246540
-854.0,18016.0,67868.0,-1198.0,-7256.0,15400.0,-5253.0,84.0,182.0,21,M,6,2019-06-19T12:32:06.793450
-894.0,18132.0,67802.0,-1052.0,-7263.0,15591.0,-5243.0,84.0,182.0,21,M,6,2019-06-19T12:32:07.383025
-774.0,18107.0,68108.0,-1084.0,-7288.0,15232.0,-5187.0,84.0,182.0,21,M,6,2019-06-19T12:32:07.929400
-760.0,17997.0,67809.0,-1112.0,-7308.0,15104.0,-5227.0,84.0,182.0,21,M,6,2019-06-19T12:32:08.519653
-894.0,18095.0,67713.0,-1012.0,-7286.0,15528.0,-5114.0,84.0,182.0,21,M,6,2019-06-19T12:32:09.064731
-809.0,18165.0,68000.0,-945.0,-7360.0,15209.0,-5116.0,84.0,182.0,21,M,6,2019-06-19T12:32:09.656114
-678.0,18142.0,67740.0,-1083.0,-7361.0,15083.0,-5094.0,84.0,182.0,21,M,6,2019-06-19T12:32:10.201062
