seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
15299.0,31337.0,56287.0,20373.0,17211.0,12788.0,-505.0,63.0,156.0,25,F,6,2019-06-17T15:12:06.573805
15643.0,33029.0,45341.0,16951.0,15274.0,12215.0,-568.0,63.0,156.0,25,F,6,2019-06-17T15:12:07.141979
16347.0,32797.0,40559.0,16833.0,13889.0,12476.0,-488.0,63.0,156.0,25,F,6,2019-06-17T15:12:07.709048
16353.0,32844.0,42340.0,16741.0,12574.0,12317.0,-484.0,63.0,156.0,25,F,6,2019-06-17T15:12:08.277796
16641.0,32489.0,41440.0,16985.0,12863.0,12255.0,-525.0,63.0,156.0,25,F,6,2019-06-17T15:12:08.844856
16757.0,32419.0,41523.0,16954.0,13350.0,12376.0,-426.0,63.0,156.0,25,F,6,2019-06-17T15:12:09.413547
16848.0,32527.0,40742.0,17174.0,13208.0,11845.0,-470.0,63.0,156.0,25,F,6,2019-06-17T15:12:09.980123
16443.0,33586.0,42306.0,16388.0,14571.0,10668.0,-439.0,63.0,156.0,25,F,6,2019-06-17T15:12:10.549295
16482.0,35787.0,48154.0,15007.0,13510.0,10778.0,-472.0,63.0,156.0,25,F,6,2019-06-17T15:12:11.115250
16833.0,36503.0,46597.0,15275.0,12954.0,9966.0,-434.0,63.0,156.0,25,F,6,2019-06-17T15:12:11.685048
17055.0,36556.0,46382.0,15294.0,12130.0,9865.0,-442.0,63.0,156.0,25,F,6,2019-06-17T15:12:12.250577
17257.0,37344.0,45839.0,15494.0,11685.0,9255.0,-444.0,63.0,156.0,25,F,6,2019-06-17T15:12:12.820889
17402.0,36599.0,46020.0,15658.0,11496.0,9953.0,-412.0,63.0,156.0,25,F,6,2019-06-17T15:12:13.385780
17123.0,36312.0,46402.0,15539.0,13995.0,9559.0,-437.0,63.0,156.0,25,F,6,2019-06-17T15:12:13.956733
16916.0,35957.0,46373.0,15306.0,13960.0,9780.0,-388.0,63.0,156.0,25,F,6,2019-06-17T15:12:14.521163
16991.0,35809.0,46281.0,15306.0,12707.0,9775.0,-407.0,63.0,156.0,25,F,6,2019-06-17T15:12:15.092240
17454.0,33049.0,44440.0,16027.0,11838.0,8755.0,-364.0,63.0,156.0,25,F,6,2019-06-17T15:12:15.656599
17582.0,32831.0,43944.0,16260.0,10383.0,9748.0,-355.0,63.0,156.0,25,F,6,2019-06-17T15:12:16.228074
17088.0,32436.0,43814.0,16152.0,10028.0,10386.0,-392.0,63.0,156.0,25,F,6,2019-06-17T15:12:16.791980
17020.0,32454.0,43829.0,16119.0,9915.0,10284.0,-314.0,63.0,156.0,25,F,6,2019-06-17T15:12:17.363934
