seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
16889.0,21899.0,37192.0,16701.0,16498.0,16734.0,-2534.0,55.0,163.0,25,F,6,2019-06-17T14:48:51.874279
16869.0,20968.0,39461.0,16612.0,15481.0,16474.0,-2561.0,55.0,163.0,25,F,6,2019-06-17T14:48:52.467308
17056.0,21156.0,37931.0,16423.0,15100.0,16297.0,-2425.0,55.0,163.0,25,F,6,2019-06-17T14:48:53.034502
16980.0,20828.0,37268.0,16396.0,14860.0,15556.0,-2479.0,55.0,163.0,25,F,6,2019-06-17T14:48:53.629808
17049.0,20933.0,36670.0,16481.0,14835.0,15497.0,-2492.0,55.0,163.0,25,F,6,2019-06-17T14:48:54.170754
16884.0,20939.0,36376.0,16426.0,14756.0,15210.0,-2467.0,55.0,163.0,25,F,6,2019-06-17T14:48:54.765499
16998.0,20982.0,36203.0,16426.0,14849.0,15158.0,-2475.0,55.0,163.0,25,F,6,2019-06-17T14:48:55.306009
16797.0,20954.0,36399.0,16474.0,14868.0,14958.0,-2464.0,55.0,163.0,25,F,6,2019-06-17T14:48:55.901230
16726.0,20900.0,36359.0,16320.0,14826.0,14909.0,-2468.0,55.0,163.0,25,F,6,2019-06-17T14:48:56.441496
16634.0,20884.0,36396.0,16319.0,15052.0,14293.0,-2499.0,55.0,163.0,25,F,6,2019-06-17T14:48:57.036961
16784.0,21349.0,36999.0,16204.0,15463.0,14099.0,-2480.0,55.0,163.0,25,F,6,2019-06-17T14:48:57.576544
16283.0,21034.0,36868.0,16094.0,15600.0,12961.0,-2499.0,55.0,163.0,25,F,6,2019-06-17T14:48:58.172728
16328.0,21069.0,36436.0,16222.0,15492.0,13962.0,-2507.0,55.0,163.0,25,F,6,2019-06-17T14:48:58.711815
15224.0,20652.0,38605.0,16493.0,15235.0,13179.0,-2481.0,55.0,163.0,25,F,6,2019-06-17T14:48:59.308386
16452.0,20409.0,40884.0,18602.0,14412.0,13140.0,-2545.0,55.0,163.0,25,F,6,2019-06-17T14:48:59.847043
17388.0,20561.0,40579.0,19640.0,14248.0,13347.0,-2474.0,55.0,163.0,25,F,6,2019-06-17T14:49:00.444282
17993.0,20675.0,36517.0,16953.0,13792.0,13387.0,-2512.0,55.0,163.0,25,F,6,2019-06-17T14:49:00.982460
18165.0,20915.0,37146.0,16585.0,13553.0,13412.0,-2523.0,55.0,163.0,25,F,6,2019-06-17T14:49:01.580003
18392.0,21056.0,37380.0,16364.0,12792.0,14247.0,-2467.0,55.0,163.0,25,F,6,2019-06-17T14:49:02.117616
17691.0,20734.0,38089.0,16335.0,12484.0,13887.0,-2484.0,55.0,163.0,25,F,6,2019-06-17T14:49:02.715828
