seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
62485.0,22924.0,19610.0,-672.0,35515.0,13320.0,-11847.0,83.0,180.0,21,M,7,2019-06-19T12:27:07.516637
62280.0,23261.0,19739.0,-778.0,34011.0,14493.0,-11708.0,83.0,180.0,21,M,7,2019-06-19T12:27:08.084476
61858.0,23527.0,19411.0,-837.0,35349.0,13300.0,-11805.0,83.0,180.0,21,M,7,2019-06-19T12:27:08.652464
60757.0,23229.0,19246.0,-884.0,35162.0,13217.0,-11816.0,83.0,180.0,21,M,7,2019-06-19T12:27:09.232625
61371.0,23460.0,18567.0,-864.0,34344.0,13301.0,-11819.0,83.0,180.0,21,M,7,2019-06-19T12:27:09.810165
60893.0,23891.0,17978.0,-877.0,33896.0,13498.0,-11908.0,83.0,180.0,21,M,7,2019-06-19T12:27:10.404768
60379.0,23822.0,17671.0,-948.0,33982.0,12886.0,-11870.0,83.0,180.0,21,M,7,2019-06-19T12:27:10.925878
61088.0,23467.0,18217.0,-1036.0,33140.0,13289.0,-11915.0,83.0,180.0,21,M,7,2019-06-19T12:27:11.494194
61186.0,23551.0,17999.0,-1008.0,32451.0,13211.0,-11905.0,83.0,180.0,21,M,7,2019-06-19T12:27:12.061804
61062.0,23451.0,17867.0,-936.0,32714.0,13180.0,-11946.0,83.0,180.0,21,M,7,2019-06-19T12:27:12.630700
61650.0,23311.0,17909.0,-948.0,33030.0,13524.0,-12022.0,83.0,180.0,21,M,7,2019-06-19T12:27:13.198879
61786.0,22770.0,17901.0,-965.0,33773.0,12833.0,-12030.0,83.0,180.0,21,M,7,2019-06-19T12:27:13.767158
62261.0,22732.0,17688.0,-993.0,33140.0,12298.0,-12082.0,83.0,180.0,21,M,7,2019-06-19T12:27:14.335297
62021.0,22804.0,17867.0,-994.0,32566.0,12757.0,-12046.0,83.0,180.0,21,M,7,2019-06-19T12:27:14.903570
62093.0,22722.0,17931.0,-1015.0,31683.0,13229.0,-12084.0,83.0,180.0,21,M,7,2019-06-19T12:27:15.471682
62459.0,22967.0,18181.0,-1015.0,31960.0,12808.0,-12115.0,83.0,180.0,21,M,7,2019-06-19T12:27:16.039771
62396.0,23150.0,18214.0,-933.0,32012.0,12297.0,-12110.0,83.0,180.0,21,M,7,2019-06-19T12:27:16.607899
62763.0,23077.0,18049.0,-951.0,31286.0,12648.0,-12178.0,83.0,180.0,21,M,7,2019-06-19T12:27:17.176066
63222.0,22969.0,17778.0,-961.0,30542.0,13644.0,-12185.0,83.0,180.0,21,M,7,2019-06-19T12:27:17.744465
63373.0,22802.0,17917.0,-990.0,31717.0,13076.0,-12219.0,83.0,180.0,21,M,7,2019-06-19T12:27:18.312221
