seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
61512.0,23881.0,19665.0,-13257.0,44086.0,20436.0,-16913.0,80.0,180.0,24,M,7,2019-06-20T11:06:04.271752
59741.0,24363.0,19685.0,-13182.0,46767.0,21016.0,-16842.0,80.0,180.0,24,M,7,2019-06-20T11:06:04.864904
61298.0,24503.0,19471.0,-13206.0,49298.0,21052.0,-16741.0,80.0,180.0,24,M,7,2019-06-20T11:06:05.407597
58328.0,25599.0,19622.0,-13275.0,51481.0,21848.0,-16534.0,80.0,180.0,24,M,7,2019-06-20T11:06:06.001779
52970.0,26224.0,19768.0,-13275.0,52728.0,21582.0,-16387.0,80.0,180.0,24,M,7,2019-06-20T11:06:06.544008
52167.0,26383.0,19763.0,-13135.0,51200.0,21617.0,-16391.0,80.0,180.0,24,M,7,2019-06-20T11:06:07.138042
52660.0,26155.0,19637.0,-13326.0,51607.0,19756.0,-16468.0,80.0,180.0,24,M,7,2019-06-20T11:06:07.679900
51138.0,26002.0,19525.0,-13314.0,52862.0,20338.0,-16401.0,80.0,180.0,24,M,7,2019-06-20T11:06:08.274645
51303.0,26000.0,19546.0,-13298.0,53489.0,20785.0,-16370.0,80.0,180.0,24,M,7,2019-06-20T11:06:08.816382
51217.0,26119.0,19578.0,-13323.0,53849.0,21002.0,-16351.0,80.0,180.0,24,M,7,2019-06-20T11:06:09.411380
50915.0,26232.0,19614.0,-13273.0,54468.0,20451.0,-16328.0,80.0,180.0,24,M,7,2019-06-20T11:06:09.952330
50740.0,26487.0,19712.0,-13181.0,53164.0,20288.0,-16404.0,80.0,180.0,24,M,7,2019-06-20T11:06:10.548122
51367.0,26329.0,19721.0,-13215.0,53702.0,20579.0,-16446.0,80.0,180.0,24,M,7,2019-06-20T11:06:11.087674
50719.0,26158.0,19800.0,-13281.0,54641.0,21116.0,-16496.0,80.0,180.0,24,M,7,2019-06-20T11:06:11.684796
50691.0,26087.0,19869.0,-13298.0,53463.0,20596.0,-16478.0,80.0,180.0,24,M,7,2019-06-20T11:06:12.224162
50629.0,26294.0,19839.0,-13304.0,54415.0,20349.0,-16548.0,80.0,180.0,24,M,7,2019-06-20T11:06:12.821465
49853.0,26423.0,19730.0,-13327.0,54488.0,20601.0,-16473.0,80.0,180.0,24,M,7,2019-06-20T11:06:13.360279
50714.0,26465.0,19730.0,-13223.0,54404.0,21309.0,-16399.0,80.0,180.0,24,M,7,2019-06-20T11:06:13.958072
51133.0,26611.0,19678.0,-13217.0,53032.0,20827.0,-16378.0,80.0,180.0,24,M,7,2019-06-20T11:06:14.496239
51523.0,26814.0,19599.0,-13205.0,52376.0,20075.0,-16329.0,80.0,180.0,24,M,7,2019-06-20T11:06:15.094348
