seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
31031.0,17311.0,23219.0,5405.0,29010.0,6790.0,-7554.0,63.0,170.0,20,F,7,2019-06-18T17:33:08.227350
32994.0,17124.0,23291.0,5058.0,28428.0,4593.0,-7004.0,63.0,170.0,20,F,7,2019-06-18T17:33:08.768696
35196.0,18125.0,23154.0,3605.0,29022.0,5094.0,-5779.0,63.0,170.0,20,F,7,2019-06-18T17:33:09.363556
34008.0,19267.0,23456.0,2952.0,27389.0,4941.0,-6216.0,63.0,170.0,20,F,7,2019-06-18T17:33:09.904617
34608.0,18953.0,23247.0,2519.0,27051.0,5112.0,-6191.0,63.0,170.0,20,F,7,2019-06-18T17:33:10.499929
34063.0,18743.0,23290.0,3636.0,26549.0,5228.0,-6354.0,63.0,170.0,20,F,7,2019-06-18T17:33:11.040406
33440.0,18668.0,23353.0,3710.0,26246.0,5134.0,-6534.0,63.0,170.0,20,F,7,2019-06-18T17:33:11.636139
34213.0,18219.0,23474.0,3824.0,26198.0,5219.0,-6607.0,63.0,170.0,20,F,7,2019-06-18T17:33:12.175932
34380.0,18304.0,23494.0,4473.0,26098.0,5142.0,-6482.0,63.0,170.0,20,F,7,2019-06-18T17:33:12.772415
33960.0,18031.0,23447.0,4607.0,26773.0,4814.0,-7182.0,63.0,170.0,20,F,7,2019-06-18T17:33:13.311682
33824.0,17606.0,23537.0,4974.0,26483.0,4800.0,-7403.0,63.0,170.0,20,F,7,2019-06-18T17:33:13.908809
34240.0,17564.0,23485.0,4885.0,26597.0,4863.0,-7041.0,63.0,170.0,20,F,7,2019-06-18T17:33:14.447416
34192.0,17685.0,23469.0,5043.0,26312.0,4530.0,-6965.0,63.0,170.0,20,F,7,2019-06-18T17:33:15.045046
34099.0,17529.0,23437.0,4750.0,26064.0,4917.0,-7125.0,63.0,170.0,20,F,7,2019-06-18T17:33:15.583222
34277.0,17319.0,23308.0,4652.0,26352.0,5245.0,-6853.0,63.0,170.0,20,F,7,2019-06-18T17:33:16.181336
38173.0,17615.0,23100.0,3846.0,27768.0,5436.0,-6029.0,63.0,170.0,20,F,7,2019-06-18T17:33:16.718906
40453.0,18777.0,23121.0,3090.0,26880.0,6426.0,-5108.0,63.0,170.0,20,F,7,2019-06-18T17:33:17.317618
40800.0,18663.0,23073.0,3114.0,26451.0,6425.0,-5329.0,63.0,170.0,20,F,7,2019-06-18T17:33:17.854888
39854.0,18594.0,23150.0,3214.0,26160.0,6513.0,-5712.0,63.0,170.0,20,F,7,2019-06-18T17:33:18.453857
38931.0,18431.0,23105.0,3386.0,26315.0,6315.0,-5932.0,63.0,170.0,20,F,7,2019-06-18T17:33:18.990830
