seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
212000.0,28485.0,36656.0,-3828.0,12254.0,11405.0,10254.0,66.0,168.0,23,M,7,2019-06-18T15:51:57.167255
210288.0,28451.0,36699.0,-3762.0,11639.0,11032.0,10577.0,66.0,168.0,23,M,7,2019-06-18T15:51:57.736331
211766.0,28640.0,36741.0,-3883.0,12317.0,10944.0,11091.0,66.0,168.0,23,M,7,2019-06-18T15:51:58.302280
211265.0,28763.0,36671.0,-3863.0,12265.0,11220.0,11007.0,66.0,168.0,23,M,7,2019-06-18T15:51:58.872061
211774.0,28581.0,36360.0,-3894.0,12598.0,11513.0,11302.0,66.0,168.0,23,M,7,2019-06-18T15:51:59.437410
212229.0,29176.0,36278.0,-3811.0,12398.0,11786.0,11771.0,66.0,168.0,23,M,7,2019-06-18T15:52:00.007746
213050.0,29421.0,34947.0,-3680.0,11104.0,12092.0,11117.0,66.0,168.0,23,M,7,2019-06-18T15:52:00.571827
209972.0,29325.0,35334.0,-3579.0,10533.0,11147.0,11495.0,66.0,168.0,23,M,7,2019-06-18T15:52:01.143346
213246.0,29310.0,36127.0,-3851.0,11419.0,11201.0,12162.0,66.0,168.0,23,M,7,2019-06-18T15:52:01.707484
216119.0,29528.0,35769.0,-3847.0,10639.0,11914.0,12150.0,66.0,168.0,23,M,7,2019-06-18T15:52:02.279045
220588.0,29408.0,35588.0,-3931.0,9669.0,12071.0,12513.0,66.0,168.0,23,M,7,2019-06-18T15:52:02.842524
220211.0,29253.0,35493.0,-3748.0,7146.0,11145.0,12375.0,66.0,168.0,23,M,7,2019-06-18T15:52:03.414658
218807.0,28926.0,35456.0,-3561.0,4667.0,10610.0,12277.0,66.0,168.0,23,M,7,2019-06-18T15:52:03.977589
216967.0,28450.0,35564.0,-3579.0,8109.0,11946.0,11760.0,66.0,168.0,23,M,7,2019-06-18T15:52:04.550446
215668.0,28431.0,35718.0,-3476.0,9289.0,12439.0,11165.0,66.0,168.0,23,M,7,2019-06-18T15:52:05.112516
215894.0,28632.0,35452.0,-3484.0,9207.0,11874.0,10987.0,66.0,168.0,23,M,7,2019-06-18T15:52:05.686488
217695.0,28800.0,35366.0,-3572.0,8385.0,12033.0,11247.0,66.0,168.0,23,M,7,2019-06-18T15:52:06.247594
218334.0,28660.0,35359.0,-3537.0,8109.0,11303.0,11342.0,66.0,168.0,23,M,7,2019-06-18T15:52:06.821806
217452.0,28665.0,35353.0,-3464.0,7649.0,10813.0,11357.0,66.0,168.0,23,M,7,2019-06-18T15:52:07.382678
215501.0,28818.0,35259.0,-3308.0,7638.0,10981.0,10697.0,66.0,168.0,23,M,7,2019-06-18T15:52:07.957410
