seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
13493.0,50567.0,3963.0,8693.0,30775.0,12064.0,-12112.0,76.0,192.0,28,M,8,2019-06-19T12:04:33.724341
13799.0,50933.0,4460.0,8757.0,30136.0,11770.0,-12125.0,76.0,192.0,28,M,8,2019-06-19T12:04:34.292911
14474.0,50029.0,4629.0,8983.0,29511.0,11077.0,-12101.0,76.0,192.0,28,M,8,2019-06-19T12:04:34.861008
14612.0,49995.0,4703.0,9048.0,28190.0,11469.0,-12081.0,76.0,192.0,28,M,8,2019-06-19T12:04:35.428989
14773.0,49986.0,4670.0,8998.0,27564.0,11550.0,-12106.0,76.0,192.0,28,M,8,2019-06-19T12:04:35.997251
14780.0,50034.0,4622.0,9043.0,27480.0,11708.0,-12080.0,76.0,192.0,28,M,8,2019-06-19T12:04:36.565422
14820.0,49799.0,4782.0,9072.0,27252.0,11688.0,-12139.0,76.0,192.0,28,M,8,2019-06-19T12:04:37.133439
15060.0,49843.0,4844.0,9096.0,27139.0,11053.0,-12203.0,76.0,192.0,28,M,8,2019-06-19T12:04:37.701655
14960.0,49764.0,4927.0,9090.0,26592.0,11439.0,-12194.0,76.0,192.0,28,M,8,2019-06-19T12:04:38.269636
14797.0,49445.0,4879.0,9057.0,26966.0,11652.0,-12170.0,76.0,192.0,28,M,8,2019-06-19T12:04:38.837876
14701.0,49821.0,4946.0,9004.0,26276.0,11669.0,-12162.0,76.0,192.0,28,M,8,2019-06-19T12:04:39.405905
15063.0,49288.0,5000.0,9158.0,27100.0,11891.0,-12149.0,76.0,192.0,28,M,8,2019-06-19T12:04:39.974016
14684.0,49478.0,4962.0,9049.0,27111.0,11441.0,-12146.0,76.0,192.0,28,M,8,2019-06-19T12:04:40.542202
15013.0,49071.0,5168.0,9167.0,26953.0,10733.0,-12200.0,76.0,192.0,28,M,8,2019-06-19T12:04:41.110406
14940.0,49150.0,5163.0,9144.0,26826.0,10523.0,-12268.0,76.0,192.0,28,M,8,2019-06-19T12:04:41.678564
14742.0,48858.0,5180.0,9161.0,26451.0,10806.0,-12185.0,76.0,192.0,28,M,8,2019-06-19T12:04:42.246638
14588.0,48836.0,5164.0,9147.0,25917.0,10808.0,-12295.0,76.0,192.0,28,M,8,2019-06-19T12:04:42.814877
14772.0,48611.0,5497.0,9229.0,25559.0,11205.0,-12229.0,76.0,192.0,28,M,8,2019-06-19T12:04:43.382986
14765.0,48398.0,5329.0,9257.0,25867.0,10786.0,-12266.0,76.0,192.0,28,M,8,2019-06-19T12:04:43.951140
14406.0,48589.0,5388.0,9205.0,25061.0,11199.0,-12263.0,76.0,192.0,28,M,8,2019-06-19T12:04:44.519128
