seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
66061.0,129725.0,16803.0,11078.0,21024.0,9702.0,20606.0,66.0,168.0,23,M,8,2019-06-18T15:52:31.030161
67886.0,137671.0,16664.0,11115.0,23883.0,10956.0,19382.0,66.0,168.0,23,M,8,2019-06-18T15:52:31.599624
70279.0,127785.0,16817.0,12911.0,22747.0,11683.0,20718.0,66.0,168.0,23,M,8,2019-06-18T15:52:32.165472
66047.0,134549.0,16945.0,12150.0,23243.0,10709.0,23640.0,66.0,168.0,23,M,8,2019-06-18T15:52:32.735454
68942.0,131079.0,16935.0,10478.0,22671.0,10081.0,22041.0,66.0,168.0,23,M,8,2019-06-18T15:52:33.300866
70199.0,129852.0,17014.0,10629.0,21156.0,11319.0,20863.0,66.0,168.0,23,M,8,2019-06-18T15:52:33.871088
69326.0,130010.0,16955.0,10809.0,21241.0,11201.0,21189.0,66.0,168.0,23,M,8,2019-06-18T15:52:34.436092
68882.0,128245.0,16981.0,10568.0,19975.0,10958.0,21876.0,66.0,168.0,23,M,8,2019-06-18T15:52:35.006775
69284.0,127155.0,16935.0,10882.0,19283.0,10635.0,22405.0,66.0,168.0,23,M,8,2019-06-18T15:52:35.571401
66979.0,133538.0,16904.0,10454.0,21265.0,11338.0,21755.0,66.0,168.0,23,M,8,2019-06-18T15:52:36.142407
67331.0,133917.0,16830.0,10250.0,21126.0,10474.0,22200.0,66.0,168.0,23,M,8,2019-06-18T15:52:36.706572
69667.0,134217.0,16913.0,10565.0,21467.0,10309.0,21552.0,66.0,168.0,23,M,8,2019-06-18T15:52:37.278242
68950.0,137445.0,16950.0,10220.0,21915.0,10195.0,20872.0,66.0,168.0,23,M,8,2019-06-18T15:52:37.841770
69078.0,135709.0,16863.0,10134.0,21950.0,9025.0,21558.0,66.0,168.0,23,M,8,2019-06-18T15:52:38.414044
68871.0,135913.0,16832.0,10138.0,21925.0,9557.0,21752.0,66.0,168.0,23,M,8,2019-06-18T15:52:38.976974
68415.0,136985.0,16846.0,10115.0,21291.0,9509.0,21828.0,66.0,168.0,23,M,8,2019-06-18T15:52:39.549638
68471.0,136496.0,16843.0,10035.0,21784.0,9917.0,22072.0,66.0,168.0,23,M,8,2019-06-18T15:52:40.112096
69291.0,135130.0,16756.0,10082.0,21818.0,9528.0,22320.0,66.0,168.0,23,M,8,2019-06-18T15:52:40.685223
70003.0,134408.0,16815.0,10045.0,21611.0,8697.0,22556.0,66.0,168.0,23,M,8,2019-06-18T15:52:41.247303
69167.0,136665.0,16675.0,9910.0,21624.0,8851.0,22736.0,66.0,168.0,23,M,8,2019-06-18T15:52:41.820938
