seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
15884.0,65647.0,15077.0,11292.0,25270.0,15864.0,-3807.0,72.0,175.0,21,M,8,2019-06-18T15:17:38.429375
15891.0,65353.0,15127.0,11469.0,25561.0,15426.0,-3756.0,72.0,175.0,21,M,8,2019-06-18T15:17:38.971978
15930.0,65086.0,15124.0,11497.0,25052.0,15158.0,-3772.0,72.0,175.0,21,M,8,2019-06-18T15:17:39.565579
15961.0,64962.0,15184.0,11521.0,24248.0,14971.0,-3681.0,72.0,175.0,21,M,8,2019-06-18T15:17:40.107144
15917.0,64834.0,15237.0,11499.0,23872.0,14987.0,-3735.0,72.0,175.0,21,M,8,2019-06-18T15:17:40.701526
15903.0,64723.0,15292.0,11512.0,23726.0,14822.0,-3759.0,72.0,175.0,21,M,8,2019-06-18T15:17:41.242054
15870.0,64561.0,15247.0,11548.0,23807.0,14523.0,-3769.0,72.0,175.0,21,M,8,2019-06-18T15:17:41.837521
15974.0,64450.0,15229.0,11583.0,23869.0,14517.0,-3762.0,72.0,175.0,21,M,8,2019-06-18T15:17:42.377171
16210.0,64197.0,15270.0,11598.0,23943.0,14448.0,-3688.0,72.0,175.0,21,M,8,2019-06-18T15:17:42.973523
16286.0,63787.0,15368.0,11765.0,23394.0,14246.0,-3783.0,72.0,175.0,21,M,8,2019-06-18T15:17:43.512159
16063.0,64050.0,15312.0,11681.0,23222.0,14320.0,-3785.0,72.0,175.0,21,M,8,2019-06-18T15:17:44.109631
15940.0,64218.0,15229.0,11573.0,23424.0,14308.0,-3791.0,72.0,175.0,21,M,8,2019-06-18T15:17:44.647262
15946.0,64149.0,15331.0,11434.0,23338.0,14134.0,-3712.0,72.0,175.0,21,M,8,2019-06-18T15:17:45.245729
15971.0,64174.0,15356.0,11395.0,23325.0,14131.0,-3755.0,72.0,175.0,21,M,8,2019-06-18T15:17:45.782304
15996.0,64156.0,15402.0,11389.0,23454.0,14202.0,-3724.0,72.0,175.0,21,M,8,2019-06-18T15:17:46.381839
16312.0,63480.0,15436.0,11526.0,23382.0,13747.0,-3675.0,72.0,175.0,21,M,8,2019-06-18T15:17:46.917252
16318.0,63530.0,15447.0,11668.0,22854.0,14106.0,-3697.0,72.0,175.0,21,M,8,2019-06-18T15:17:47.518726
16333.0,63773.0,15398.0,11482.0,22855.0,13904.0,-3670.0,72.0,175.0,21,M,8,2019-06-18T15:17:48.052205
16269.0,63727.0,15458.0,11380.0,22461.0,14118.0,-3726.0,72.0,175.0,21,M,8,2019-06-18T15:17:48.654051
16116.0,63777.0,15504.0,11314.0,22485.0,13979.0,-3726.0,72.0,175.0,21,M,8,2019-06-18T15:17:49.187312
