seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
53261.0,368240.0,10339.0,10020.0,30243.0,5746.0,-3270.0,85.0,185.0,23,M,8,2019-06-18T15:11:23.149031
31693.0,142276.0,9175.0,3263.0,27147.0,4671.0,-3638.0,85.0,185.0,23,M,8,2019-06-18T15:11:23.665330
17798.0,83999.0,9699.0,2011.0,36440.0,19077.0,-3697.0,85.0,185.0,23,M,8,2019-06-18T15:11:24.229978
18400.0,75214.0,9737.0,2022.0,35922.0,17278.0,-3659.0,85.0,185.0,23,M,8,2019-06-18T15:11:24.801001
17594.0,73764.0,9446.0,2077.0,33025.0,15797.0,-3695.0,85.0,185.0,23,M,8,2019-06-18T15:11:25.364960
17498.0,71731.0,9395.0,2042.0,31278.0,15506.0,-3655.0,85.0,185.0,23,M,8,2019-06-18T15:11:25.936799
17410.0,70848.0,9354.0,2132.0,30422.0,15681.0,-3640.0,85.0,185.0,23,M,8,2019-06-18T15:11:26.500015
17402.0,72210.0,9241.0,2156.0,30878.0,15770.0,-3696.0,85.0,185.0,23,M,8,2019-06-18T15:11:27.072415
17099.0,72133.0,9145.0,2145.0,30254.0,15329.0,-3671.0,85.0,185.0,23,M,8,2019-06-18T15:11:27.635011
17210.0,70681.0,9096.0,2040.0,29244.0,15513.0,-3644.0,85.0,185.0,23,M,8,2019-06-18T15:11:28.208134
17094.0,70397.0,9106.0,2135.0,28484.0,15504.0,-3687.0,85.0,185.0,23,M,8,2019-06-18T15:11:28.769944
17338.0,69478.0,9076.0,2099.0,28331.0,15281.0,-3683.0,85.0,185.0,23,M,8,2019-06-18T15:11:29.343781
17146.0,70098.0,9015.0,2052.0,28949.0,15356.0,-3720.0,85.0,185.0,23,M,8,2019-06-18T15:11:29.905016
17192.0,69867.0,9022.0,2020.0,29295.0,15196.0,-3680.0,85.0,185.0,23,M,8,2019-06-18T15:11:30.479435
17293.0,69545.0,8973.0,2008.0,28958.0,15315.0,-3675.0,85.0,185.0,23,M,8,2019-06-18T15:11:31.039846
17479.0,69624.0,8866.0,2003.0,27874.0,15008.0,-3736.0,85.0,185.0,23,M,8,2019-06-18T15:11:31.615183
17381.0,68960.0,8930.0,2008.0,28239.0,14973.0,-3697.0,85.0,185.0,23,M,8,2019-06-18T15:11:32.174960
17356.0,69772.0,8877.0,1945.0,28451.0,15057.0,-3733.0,85.0,185.0,23,M,8,2019-06-18T15:11:32.750980
17261.0,68917.0,8831.0,1946.0,28107.0,14832.0,-3662.0,85.0,185.0,23,M,8,2019-06-18T15:11:33.310011
17309.0,69249.0,8878.0,1977.0,27696.0,14915.0,-3718.0,85.0,185.0,23,M,8,2019-06-18T15:11:33.886599
