seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-34978.0,-30991.0,2934.0,24119.0,4840.0,-5793.0,426.0,73.0,171.0,26,M,5,2019-06-17T17:47:48.967309
-34872.0,-30867.0,2962.0,23606.0,4547.0,-5751.0,451.0,73.0,171.0,26,M,5,2019-06-17T17:47:49.541056
-34638.0,-30854.0,2894.0,23172.0,4449.0,-5780.0,451.0,73.0,171.0,26,M,5,2019-06-17T17:47:50.102450
-34701.0,-30792.0,2872.0,22902.0,3700.0,-5685.0,423.0,73.0,171.0,26,M,5,2019-06-17T17:47:50.676588
-34648.0,-30784.0,2741.0,23148.0,3356.0,-5756.0,437.0,73.0,171.0,26,M,5,2019-06-17T17:47:51.237838
-34666.0,-30731.0,2723.0,23138.0,3391.0,-5747.0,507.0,73.0,171.0,26,M,5,2019-06-17T17:47:51.812269
-34607.0,-30876.0,2670.0,23206.0,2706.0,-5707.0,492.0,73.0,171.0,26,M,5,2019-06-17T17:47:52.373161
-34556.0,-30844.0,2657.0,23394.0,2210.0,-5701.0,497.0,73.0,171.0,26,M,5,2019-06-17T17:47:52.947972
-34541.0,-30802.0,2624.0,23355.0,1915.0,-5707.0,553.0,73.0,171.0,26,M,5,2019-06-17T17:47:53.508389
-34625.0,-30824.0,2733.0,23186.0,2049.0,-5697.0,486.0,73.0,171.0,26,M,5,2019-06-17T17:47:54.083221
-34631.0,-30776.0,2719.0,23141.0,2027.0,-5693.0,488.0,73.0,171.0,26,M,5,2019-06-17T17:47:54.643712
-34584.0,-30788.0,2703.0,23220.0,1920.0,-5717.0,519.0,73.0,171.0,26,M,5,2019-06-17T17:47:55.218908
-34615.0,-30779.0,2715.0,23161.0,2105.0,-5718.0,521.0,73.0,171.0,26,M,5,2019-06-17T17:47:55.778882
-34593.0,-30739.0,2738.0,23282.0,1938.0,-5746.0,580.0,73.0,171.0,26,M,5,2019-06-17T17:47:56.354279
-34602.0,-30632.0,2703.0,23183.0,1889.0,-5654.0,482.0,73.0,171.0,26,M,5,2019-06-17T17:47:56.914116
-34612.0,-30579.0,2640.0,23184.0,1813.0,-5721.0,514.0,73.0,171.0,26,M,5,2019-06-17T17:47:57.489746
-34648.0,-30545.0,2615.0,23144.0,1999.0,-5688.0,569.0,73.0,171.0,26,M,5,2019-06-17T17:47:58.048890
-34537.0,-30512.0,2641.0,22708.0,1901.0,-5642.0,569.0,73.0,171.0,26,M,5,2019-06-17T17:47:58.625311
-34362.0,-30639.0,2602.0,22607.0,1549.0,-5642.0,467.0,73.0,171.0,26,M,5,2019-06-17T17:47:59.184661
-34434.0,-30534.0,2600.0,22339.0,1451.0,-5585.0,565.0,73.0,171.0,26,M,5,2019-06-17T17:47:59.760806
17298.0,27760.0,15989.0,17734.0,18879.0,-2104.0,3572.0,71.0,169.0,24,M,5,2019-06-17T15:38:25.951923
15515.0,26947.0,16507.0,17546.0,21363.0,-1820.0,3559.0,71.0,169.0,24,M,5,2019-06-17T15:38:26.520063
15875.0,29730.0,16836.0,18354.0,24137.0,-1434.0,3832.0,71.0,169.0,24,M,5,2019-06-17T15:38:27.087142
16306.0,30029.0,16676.0,19066.0,22357.0,-1368.0,3884.0,71.0,169.0,24,M,5,2019-06-17T15:38:27.655170
16377.0,29064.0,16100.0,19106.0,21694.0,-1459.0,3910.0,71.0,169.0,24,M,5,2019-06-17T15:38:28.222768
16210.0,29700.0,16082.0,19040.0,21785.0,-1486.0,3937.0,71.0,169.0,24,M,5,2019-06-17T15:38:28.790303
15956.0,30137.0,15962.0,18874.0,21349.0,-1474.0,3935.0,71.0,169.0,24,M,5,2019-06-17T15:38:29.357924
16063.0,29897.0,15951.0,18819.0,21591.0,-1455.0,3995.0,71.0,169.0,24,M,5,2019-06-17T15:38:29.925437
16079.0,29746.0,16012.0,19029.0,21557.0,-1411.0,4014.0,71.0,169.0,24,M,5,2019-06-17T15:38:30.493919
16360.0,30274.0,15511.0,18970.0,20415.0,-1420.0,4044.0,71.0,169.0,24,M,5,2019-06-17T15:38:31.060088
16356.0,30175.0,15692.0,18904.0,19346.0,-1481.0,4066.0,71.0,169.0,24,M,5,2019-06-17T15:38:31.629577
16388.0,30511.0,15709.0,18907.0,18836.0,-1456.0,4058.0,71.0,169.0,24,M,5,2019-06-17T15:38:32.195692
14738.0,28286.0,16066.0,22379.0,16041.0,-1489.0,4047.0,71.0,169.0,24,M,5,2019-06-17T15:38:32.765232
14814.0,28763.0,16291.0,21059.0,14295.0,-1427.0,3994.0,71.0,169.0,24,M,5,2019-06-17T15:38:33.330793
15410.0,29401.0,16496.0,21153.0,13967.0,-1468.0,4078.0,71.0,169.0,24,M,5,2019-06-17T15:38:33.900848
15479.0,29473.0,16588.0,20909.0,14517.0,-1444.0,4082.0,71.0,169.0,24,M,5,2019-06-17T15:38:34.465987
15528.0,29523.0,16485.0,20786.0,14703.0,-1367.0,4104.0,71.0,169.0,24,M,5,2019-06-17T15:38:35.036473
15505.0,29441.0,16441.0,20747.0,14946.0,-1391.0,4117.0,71.0,169.0,24,M,5,2019-06-17T15:38:35.601149
15540.0,29645.0,16372.0,20881.0,14163.0,-1402.0,4115.0,71.0,169.0,24,M,5,2019-06-17T15:38:36.172041
15511.0,29558.0,16419.0,20773.0,14060.0,-1308.0,4150.0,71.0,169.0,24,M,5,2019-06-17T15:38:36.736179
7933.0,17030.0,9032.0,40658.0,18398.0,241.0,-2696.0,74.0,178.0,24,M,5,2019-06-17T16:11:36.206103
9102.0,16948.0,8462.0,40471.0,20376.0,234.0,-2675.0,74.0,178.0,24,M,5,2019-06-17T16:11:36.770026
8684.0,16903.0,8741.0,40604.0,12326.0,229.0,-2707.0,74.0,178.0,24,M,5,2019-06-17T16:11:37.341840
7934.0,16691.0,8813.0,41880.0,10983.0,258.0,-2726.0,74.0,178.0,24,M,5,2019-06-17T16:11:37.904795
7888.0,16772.0,8934.0,42182.0,10486.0,201.0,-2672.0,74.0,178.0,24,M,5,2019-06-17T16:11:38.477842
7733.0,16777.0,8939.0,42265.0,10124.0,233.0,-2744.0,74.0,178.0,24,M,5,2019-06-17T16:11:39.039634
7761.0,16889.0,9020.0,42096.0,10184.0,230.0,-2743.0,74.0,178.0,24,M,5,2019-06-17T16:11:39.613641
7775.0,16812.0,9024.0,42195.0,10039.0,206.0,-2712.0,74.0,178.0,24,M,5,2019-06-17T16:11:40.174439
7776.0,16856.0,9108.0,41960.0,10130.0,221.0,-2735.0,74.0,178.0,24,M,5,2019-06-17T16:11:40.749452
7816.0,16837.0,9122.0,41971.0,9875.0,187.0,-2761.0,74.0,178.0,24,M,5,2019-06-17T16:11:41.309244
7779.0,16923.0,9130.0,41845.0,9856.0,220.0,-2739.0,74.0,178.0,24,M,5,2019-06-17T16:11:41.885273
7846.0,16848.0,9154.0,41885.0,9718.0,238.0,-2763.0,74.0,178.0,24,M,5,2019-06-17T16:11:42.444045
8388.0,17062.0,9280.0,41296.0,11506.0,200.0,-2703.0,74.0,178.0,24,M,5,2019-06-17T16:11:43.021111
8005.0,16819.0,9278.0,42005.0,10016.0,174.0,-2735.0,74.0,178.0,24,M,5,2019-06-17T16:11:43.578881
8497.0,16959.0,9318.0,41652.0,14392.0,199.0,-2720.0,74.0,178.0,24,M,5,2019-06-17T16:11:44.156819
8165.0,16790.0,9276.0,41936.0,12115.0,178.0,-2783.0,74.0,178.0,24,M,5,2019-06-17T16:11:44.713790
7944.0,16738.0,9285.0,42011.0,11567.0,155.0,-2760.0,74.0,178.0,24,M,5,2019-06-17T16:11:45.292613
7820.0,16636.0,9207.0,41999.0,11104.0,186.0,-2758.0,74.0,178.0,24,M,5,2019-06-17T16:11:45.848475
7850.0,16671.0,9154.0,42399.0,10372.0,155.0,-2697.0,74.0,178.0,24,M,5,2019-06-17T16:11:46.428379
7965.0,16710.0,9191.0,42348.0,9991.0,176.0,-2658.0,74.0,178.0,24,M,5,2019-06-17T16:11:46.983361
-5191.0,13587.0,28773.0,43279.0,24509.0,2978.0,471.0,90.0,180.0,38,M,5,2019-06-17T16:38:19.769009
-5279.0,13617.0,28843.0,43226.0,24295.0,2983.0,504.0,90.0,180.0,38,M,5,2019-06-17T16:38:20.324837
-5280.0,13720.0,28726.0,43157.0,24453.0,3068.0,450.0,90.0,180.0,38,M,5,2019-06-17T16:38:20.904465
-5256.0,13411.0,28743.0,43104.0,24086.0,3000.0,494.0,90.0,180.0,38,M,5,2019-06-17T16:38:21.459844
-5299.0,13402.0,28850.0,42907.0,24135.0,2957.0,414.0,90.0,180.0,38,M,5,2019-06-17T16:38:22.040009
-5249.0,13689.0,28728.0,42732.0,25335.0,2939.0,544.0,90.0,180.0,38,M,5,2019-06-17T16:38:22.594737
-5271.0,13764.0,28728.0,42856.0,25332.0,2995.0,549.0,90.0,180.0,38,M,5,2019-06-17T16:38:23.175421
-5293.0,13352.0,28444.0,42899.0,25131.0,2917.0,499.0,90.0,180.0,38,M,5,2019-06-17T16:38:23.729537
-5186.0,13357.0,28448.0,43011.0,25146.0,2951.0,551.0,90.0,180.0,38,M,5,2019-06-17T16:38:24.310935
-5298.0,13891.0,28401.0,42664.0,26021.0,2994.0,531.0,90.0,180.0,38,M,5,2019-06-17T16:38:24.864540
