seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
72224.0,28850.0,19819.0,2560.0,30702.0,5052.0,-5009.0,67.0,178.0,21,M,7,2019-06-20T12:02:42.736010
72758.0,28595.0,19917.0,2531.0,30656.0,5272.0,-5046.0,67.0,178.0,21,M,7,2019-06-20T12:02:43.331749
73212.0,29076.0,19874.0,2435.0,29785.0,4147.0,-5002.0,67.0,178.0,21,M,7,2019-06-20T12:02:43.899809
72615.0,28866.0,19829.0,2476.0,29690.0,4538.0,-4918.0,67.0,178.0,21,M,7,2019-06-20T12:02:44.491563
72769.0,28833.0,19716.0,2436.0,29115.0,4849.0,-4995.0,67.0,178.0,21,M,7,2019-06-20T12:02:45.035557
73028.0,29125.0,19749.0,2486.0,28726.0,5190.0,-4984.0,67.0,178.0,21,M,7,2019-06-20T12:02:45.627169
72992.0,29209.0,19642.0,2463.0,28584.0,5425.0,-4876.0,67.0,178.0,21,M,7,2019-06-20T12:02:46.171349
73265.0,29283.0,19842.0,2433.0,28626.0,3832.0,-4880.0,67.0,178.0,21,M,7,2019-06-20T12:02:46.762789
73220.0,29167.0,19782.0,2415.0,28183.0,4392.0,-4846.0,67.0,178.0,21,M,7,2019-06-20T12:02:47.307198
73234.0,29084.0,19664.0,2407.0,27856.0,4925.0,-4906.0,67.0,178.0,21,M,7,2019-06-20T12:02:47.898574
73082.0,29049.0,19677.0,2449.0,27782.0,5255.0,-4811.0,67.0,178.0,21,M,7,2019-06-20T12:02:48.442991
73180.0,29180.0,19707.0,2414.0,27843.0,5061.0,-4909.0,67.0,178.0,21,M,7,2019-06-20T12:02:49.034168
73134.0,29293.0,19861.0,2315.0,27925.0,3869.0,-4846.0,67.0,178.0,21,M,7,2019-06-20T12:02:49.578753
73092.0,29224.0,19848.0,2352.0,27707.0,4671.0,-4881.0,67.0,178.0,21,M,7,2019-06-20T12:02:50.169779
72881.0,28985.0,19842.0,2358.0,27549.0,5347.0,-4927.0,67.0,178.0,21,M,7,2019-06-20T12:02:50.714528
72643.0,29178.0,19879.0,2389.0,27799.0,4054.0,-4854.0,67.0,178.0,21,M,7,2019-06-20T12:02:51.305470
72604.0,29176.0,19950.0,2485.0,27766.0,4523.0,-4818.0,67.0,178.0,21,M,7,2019-06-20T12:02:51.850239
72799.0,28874.0,19901.0,2424.0,27474.0,5314.0,-4883.0,67.0,178.0,21,M,7,2019-06-20T12:02:52.441248
72738.0,28773.0,19836.0,2327.0,27477.0,6158.0,-4909.0,67.0,178.0,21,M,7,2019-06-20T12:02:52.986054
72591.0,28923.0,19924.0,2293.0,27460.0,3997.0,-4873.0,67.0,178.0,21,M,7,2019-06-20T12:02:53.576873
